case_id,source_id,material_family,material_name,data_kind,output_semantics,source_doi,source_url,extraction_method,extraction_date,grade_confirmation_required,pattern,spacing_um,Sa_um,Ra_um,Sa_m,Ra_m,wavelength_nm,pulse_duration_fs,repetition_rate_Hz,source_locator,quality_note
D02-微晶玻璃_dot_14,D02,微晶玻璃,IPS e.max CAD HT lithium-disilicate glass-ceramic,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,14,1.336,0.7375,1.336e-06,7.375e-07,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-氧化锆_dot_14,D02,氧化锆,KATANA UTML 6Y-PSZ,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,14,0.8179,0.6564,8.178999999999999e-07,6.564e-07,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-微晶玻璃_dot_20,D02,微晶玻璃,IPS e.max CAD HT lithium-disilicate glass-ceramic,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,20,1.303,0.569,1.3029999999999998e-06,5.69e-07,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-氧化锆_dot_20,D02,氧化锆,KATANA UTML 6Y-PSZ,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,20,1.692,1.395,1.6919999999999999e-06,1.395e-06,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-微晶玻璃_dot_40,D02,微晶玻璃,IPS e.max CAD HT lithium-disilicate glass-ceramic,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,40,1.549,2.13,1.549e-06,2.13e-06,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-氧化锆_dot_40,D02,氧化锆,KATANA UTML 6Y-PSZ,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,40,1.502,2.636,1.502e-06,2.636e-06,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-微晶玻璃_crossed_line_20,D02,微晶玻璃,IPS e.max CAD HT lithium-disilicate glass-ceramic,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,crossed_line,20,0.9738,0.6644,9.737999999999999e-07,6.643999999999999e-07,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-氧化锆_crossed_line_20,D02,氧化锆,KATANA UTML 6Y-PSZ,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,crossed_line,20,0.7263,0.5665,7.262999999999999e-07,5.665e-07,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-微晶玻璃_crossed_line_40,D02,微晶玻璃,IPS e.max CAD HT lithium-disilicate glass-ceramic,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,crossed_line,40,4.108,2.335,4.1079999999999995e-06,2.3349999999999997e-06,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
D02-氧化锆_crossed_line_40,D02,氧化锆,KATANA UTML 6Y-PSZ,published_experimental_result,surface_roughness_endpoint,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,crossed_line,40,3.037,2.43,3.037e-06,2.43e-06,1030,290,10000,Table 3,"Reported roughness is a measured endpoint, not a quantity inferred from a simulated heightfield. Geometry Tables 1/2 are separate protocol records."
