case_id,source_id,material_family,material_name,data_kind,output_semantics,source_doi,source_url,extraction_method,extraction_date,grade_confirmation_required,power_W,overlap_percent,defocus_mm,gas_pressure_MPa,feed_mm,end_position_mm,entrance_diameter_um,exit_diameter_um,taper_reported_deg,taper_recomputed_deg,taper_consistent_with_diameters,sample_thickness_mm,replicates,wavelength_nm,pulse_duration_fs,repetition_rate_Hz,pulse_regime,source_locator,quality_note
D05-01,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.73,87,-0.4,0.2,0.01,-0.4,290.97,333.04,-0.603,-0.6025861427651577,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-02,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.73,90,-0.2,0.25,0.015,-0.2,319.07,335.37,-0.234,-0.23347900916657616,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-03,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.73,93,0,0.3,0.02,0,292.95,265.09,0.399,0.3990586514507509,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-04,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.73,96,0.2,0.35,0.025,0.2,446.43,482.09,-0.511,-0.5107783428974795,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-05,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.73,99,0.4,0.4,0.03,0.4,496.18,490.08,0.087,0.08737599602289263,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-06,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,7.84,87,-0.2,0.3,0.025,0.4,282.24,386.82,-1.498,-1.497656970906006,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-07,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,7.84,90,0,0.35,0.03,-0.4,304.95,427.36,-1.753,-1.7528470411177677,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-08,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,7.84,93,0.2,0.4,0.01,-0.2,470.45,510.33,-0.571,-0.5712199956532015,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-09,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,7.84,96,0.4,0.2,0.015,0,522.7,506.69,0.229,0.22932513290965661,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-10,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,7.84,99,-0.4,0.25,0.02,0.2,296.65,85.01,3.029,3.0286955552808283,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,"FLAG: source discusses poor exit formation; retain observed row10, do not silently remove."
D05-11,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,8.96,87,0,0.4,0.015,0.2,403.49,518.34,-1.645,-1.6446532136847685,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-12,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,8.96,90,0.2,0.2,0.02,0.4,462.0,505.96,-0.63,-0.6296552677231273,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-13,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,8.96,93,0.4,0.25,0.025,-0.4,530.13,503.05,0.388,0.3878865013882502,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-14,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,8.96,96,-0.4,0.3,0.03,-0.2,286.75,313.1,-1.809,-0.3774304880539393,False,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,FLAG: row14 printed taper inconsistent with reported diameters; preserve both; exclude reported taper from fitting pending verification.
D05-15,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,8.96,99,-0.2,0.35,0.01,0,352.98,497.67,-2.072,-2.071628358943952,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-16,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,10.05,87,0.2,0.25,0.03,0,471.61,513.1,-0.594,-0.5942791610256105,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-17,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,10.05,90,0.4,0.3,0.01,0.2,540.53,525.18,0.22,0.2198714745801397,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-18,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,10.05,93,-0.4,0.35,0.015,0.4,292.14,450.8,-2.271,-2.271446362312598,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
D05-19,D05,高温合金,DD6 single-crystal nickel-based superalloy,published_experimental_result,through_hole_geometry_endpoint,10.3390/met13020333,https://www.mdpi.com/2075-4701/13/2/333,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,10.05,96,-0.2,0.4,0.02,-0.4,375.83,502.62,-1.815,-1.815525095519722,True,2,3,,,,femtosecond_as_reported,Table 3; level mapping from Table 2,Means of three experiments; taper derived in paper. Through-hole drilling is outside current 2.5D open-surface solver scope.
