case_id,source_id,material_family,material_name,data_kind,output_semantics,source_doi,source_url,extraction_method,extraction_date,grade_confirmation_required,power_W,scan_speed_m_s,passes,width_um,depth_um,Ra_um,width_m,depth_m,Ra_m,wavelength_nm,pulse_duration_fs,equipment_min_pulse_duration_fs,repetition_rate_Hz,spot_diameter_um,spot_definition,defocus_mm,source_locator,split_role,condition_group,quality_note
D01-01,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,16.5,2.0,50,46.49,13.74,0.92,4.649e-05,1.3739999999999999e-05,9.2e-07,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P16.5_v2.0_N50,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-02,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,11.1,3.0,150,40.46,18.28,1.12,4.046e-05,1.828e-05,1.12e-06,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P11.1_v3.0_N150,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-03,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,11.1,2.0,100,38.91,16.73,0.98,3.890999999999999e-05,1.673e-05,9.8e-07,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P11.1_v2.0_N100,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-04,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.5,3.0,100,23.57,4.92,0.41,2.357e-05,4.9199999999999995e-06,4.0999999999999994e-07,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P6.5_v3.0_N100,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-05,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,11.1,1.0,150,40.72,45.82,3.27,4.0719999999999996e-05,4.582e-05,3.27e-06,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P11.1_v1.0_N150,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-06,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.5,1.0,100,24.47,10.69,0.95,2.4469999999999998e-05,1.069e-05,9.499999999999999e-07,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P6.5_v1.0_N100,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-07,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.5,2.0,50,25.5,4.34,0.43,2.55e-05,4.34e-06,4.2999999999999996e-07,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P6.5_v2.0_N50,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-08,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,11.1,2.0,100,40.88,18.03,0.95,4.088e-05,1.8030000000000002e-05,9.499999999999999e-07,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P11.1_v2.0_N100,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-09,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,16.5,2.0,150,48.2,38.6,2.93,4.82e-05,3.8599999999999996e-05,2.93e-06,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P16.5_v2.0_N150,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
D01-10,D01,金刚石,HTHP single-crystal diamond,published_experimental_result,track_or_pass_depth,10.3390/machines12090614,https://www.mdpi.com/2075-1702/12/9/614,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,11.1,2.0,100,41.16,17.32,1.1,4.115999999999999e-05,1.732e-05,1.1e-06,1030,,250,175000,30,approximately 30 um diameter; 1/e2 convention unconfirmed,0,Table 4,calibration_candidate,P11.1_v2.0_N100,"250 fs is equipment minimum, NOT a confirmed operating pulse duration. Width/depth/Ra measured endpoints; no measured full surface supplied."
