加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,-10.9,2.4,58400,10,0.004,5,50,2000
2,-10.9,2,29400,2,0.006,3,30,223
3,-10.9,1.6,58400,10,0.004,3,40,2000
4,-10.9,1.2,29400,40,0.006,2,30,223
5,-10.9,0.8,87300,10,0.008,5,20,4000
6,-10.9,0.4,58400,10,0.002,1,20,2000
7,-10.9,0,43800,40,0.008,5,10,1000
8,-10.9,-0.4,36140,40,0.006,4,10,500
9,-10.9,-0.8,58400,40,0.004,2,20,2000
10,-10.9,-1.2,36140,5,0.004,1,50,500
11,-10.9,-1.6,58400,20,0.002,4,40,2000
12,-10.9,-2,29400,20,0.008,3,50,223
13,-10.9,-2.4,29400,5,0.01,2,10,223
14,-10.9,-2.8,58400,40,0.004,2,50,2000
15,-10.9,-3.2,36140,5,0.01,3,10,500
16,-10.9,-3.6,36140,20,0.002,1,10,500
17,-10.9,-4,36140,40,0.002,1,50,500
18,-10.9,-4.4,87300,20,0.01,4,50,4000
19,-10.9,-4.8,43800,2,0.008,1,30,1000
20,-10.9,-5.2,58400,2,0.006,4,40,2000
21,-10.9,-5.6,36140,20,0.002,3,40,500
22,-10.9,-6,29400,10,0.004,3,10,223
23,-10.9,-6.4,58400,5,0.006,2,40,2000
24,-10.9,-6.8,87300,40,0.01,2,20,4000
25,-11.3,-6.8,87300,5,0.002,2,30,4000
26,-11.3,-6.4,43800,40,0.004,5,50,1000
27,-11.3,-6,87300,20,0.01,1,50,4000
28,-11.3,-5.6,87300,20,0.006,4,30,4000
29,-11.3,-5.2,43800,40,0.002,1,10,1000
30,-11.3,-4.8,58400,10,0.004,4,20,2000
31,-11.3,-4.4,43800,5,0.01,2,50,1000
32,-11.3,-4,43800,5,0.006,5,50,1000
33,-11.3,-3.6,87300,40,0.004,5,30,4000
34,-11.3,-3.2,87300,40,0.008,2,20,4000
35,-11.3,-2.8,43800,2,0.002,3,40,1000
36,-11.3,-2.4,43800,20,0.01,4,40,1000
37,-11.3,-2,36140,10,0.006,1,40,500
38,-11.3,-1.6,87300,20,0.002,4,40,4000
39,-11.3,-1.2,87300,2,0.006,1,10,4000
40,-11.3,-0.8,43800,2,0.008,4,50,1000
41,-11.3,-0.4,87300,20,0.01,1,10,4000
42,-11.3,0,87300,2,0.004,2,10,4000
43,-11.3,0.4,58400,2,0.002,2,50,2000
44,-11.3,0.8,43800,20,0.006,5,30,1000
45,-11.3,1.2,29400,5,0.008,3,40,223
46,-11.3,1.6,36140,40,0.008,1,10,500
47,-11.3,2,36140,2,0.004,2,50,500
48,-11.3,2.4,36140,20,0.01,5,30,500
49,-11.7,2.4,43800,40,0.01,3,40,1000
50,-11.7,2,43800,20,0.002,3,50,1000
51,-11.7,1.6,87300,2,0.008,2,20,4000
