加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,-13.3,2.4,36140,10,0.006,2,50,500
2,-13.3,2,36140,10,0.006,1,50,500
3,-13.3,1.6,36140,10,0.006,4,50,500
4,-13.3,1.2,36140,10,0.006,3,50,500
5,-13.3,0.8,43800,5,0.006,2,10,1000
6,-13.3,0.4,43800,5,0.006,3,10,1000
7,-13.3,0,43800,5,0.006,4,10,1000
8,-13.3,-0.4,43800,5,0.006,1,10,1000
9,-13.3,-0.8,58400,20,0.004,2,20,2000
10,-13.3,-1.2,58400,20,0.004,3,20,2000
11,-13.3,-1.6,58400,20,0.004,4,20,2000
12,-13.3,-2,58400,20,0.004,1,20,2000
13,-13.7,-2,29400,20,0.004,1,20,223
14,-13.7,-1.6,29400,20,0.004,3,20,223
15,-13.7,-1.2,29400,20,0.004,2,20,223
16,-13.7,-0.8,29400,20,0.004,4,20,223
17,-13.7,-0.4,43800,2,0.01,4,10,1000
18,-13.7,0,43800,2,0.01,1,10,1000
19,-13.7,0.4,43800,2,0.01,2,10,1000
20,-13.7,0.8,43800,2,0.01,3,10,1000
21,-13.7,1.2,29400,10,0.008,4,30,223
22,-13.7,1.6,29400,10,0.008,1,30,223
23,-13.7,2,29400,10,0.008,2,30,223
24,-13.7,2.4,29400,10,0.008,3,30,223
25,-14.1,2.4,36140,10,0.006,4,40,500
26,-14.1,2,36140,10,0.006,2,40,500
27,-14.1,1.6,36140,10,0.006,1,40,500
28,-14.1,1.2,36140,10,0.006,3,40,500
29,-14.1,0.8,58400,40,0.01,4,40,2000
30,-14.1,0.4,58400,40,0.01,3,40,2000
31,-14.1,0,58400,40,0.01,1,40,2000
32,-14.1,-0.4,58400,40,0.01,2,40,2000
33,-14.1,-0.8,87300,5,0.008,4,10,4000
34,-14.1,-1.2,87300,5,0.008,1,10,4000
35,-14.1,-1.6,87300,5,0.008,3,10,4000
36,-14.1,-2,87300,5,0.008,2,10,4000
37,-14.5,-2,43800,40,0.008,3,50,1000
38,-14.5,-1.6,43800,40,0.008,4,50,1000
39,-14.5,-1.2,43800,40,0.008,1,50,1000
40,-14.5,-0.8,43800,40,0.008,2,50,1000
41,-14.5,-0.4,36140,20,0.004,1,20,500
42,-14.5,0,36140,20,0.004,2,20,500
43,-14.5,0.4,36140,20,0.004,3,20,500
44,-14.5,0.8,36140,20,0.004,4,20,500
45,-14.5,1.2,87300,2,0.002,2,30,4000
46,-14.5,1.6,87300,2,0.002,1,30,4000
47,-14.5,2,87300,2,0.002,4,30,4000
48,-14.5,2.4,87300,2,0.002,3,30,4000
49,-14.9,2.4,58400,2,0.002,2,40,2000
50,-14.9,2,58400,2,0.002,3,40,2000
51,-14.9,1.6,58400,2,0.002,1,40,2000
52,-14.9,1.2,58400,2,0.002,4,40,2000
53,-14.9,0.8,29400,40,0.01,3,30,223
54,-14.9,0.4,29400,40,0.01,2,30,223
55,-14.9,0,29400,40,0.01,4,30,223
56,-14.9,-0.4,29400,40,0.01,1,30,223
57,-14.9,-0.8,87300,5,0.002,1,50,4000
58,-14.9,-1.2,87300,5,0.002,4,50,4000
59,-14.9,-1.6,87300,5,0.002,2,50,4000
60,-14.9,-2,87300,5,0.002,3,50,4000
