序号,compressor,频率,间距,次数,速度,脉宽_fs
1,36140,2,0.002,5,1.0,500
2,36140,2,0.004,6,0.7,500
3,36140,2,0.006,4,0.5,500
4,36140,2,0.008,4,0.7,500
5,36140,2,0.008,6,0.5,500
6,36140,2,0.01,3,0.5,500
7,36140,2,0.01,6,0.3,500
8,36140,2,0.01,6,1.0,500
9,36140,10,0.002,5,0.1,500
10,36140,10,0.004,2,0.1,500
11,36140,10,0.006,5,0.1,500
12,36140,10,0.008,5,1.0,500
13,36140,10,0.008,6,0.5,500
14,36140,10,0.01,3,0.7,500
15,36140,50,0.008,2,0.5,500
16,36140,50,0.008,5,1.0,500
17,36140,100,0.002,3,0.1,500
18,36140,100,0.004,2,0.7,500
19,36140,100,0.004,2,1.0,500
20,36140,100,0.004,6,0.1,500
21,36140,100,0.006,4,0.1,500
22,36140,100,0.006,4,1.0,500
23,36140,200,0.008,5,0.1,500
24,36140,200,0.01,6,1.0,500
25,43800,2,0.002,4,0.5,1000
26,43800,2,0.01,2,1.0,1000
27,43800,10,0.002,5,0.5,1000
28,43800,10,0.004,2,0.7,1000
29,43800,10,0.004,5,0.5,1000
30,43800,10,0.006,3,0.5,1000
31,43800,10,0.008,3,0.7,1000
32,43800,50,0.004,3,0.1,1000
33,43800,50,0.004,6,1.0,1000
34,43800,50,0.006,4,0.1,1000
35,43800,50,0.008,2,1.0,1000
36,43800,50,0.008,6,0.3,1000
37,43800,50,0.01,4,1.0,1000
38,43800,100,0.002,3,0.7,1000
39,43800,100,0.006,2,0.1,1000
40,43800,100,0.006,6,0.3,1000
41,43800,100,0.008,6,0.1,1000
42,43800,100,0.01,4,0.7,1000
43,43800,100,0.01,6,1.0,1000
44,43800,200,0.006,4,0.3,1000
45,43800,200,0.006,4,0.5,1000
46,43800,200,0.008,5,1.0,1000
47,43800,200,0.01,4,0.7,1000
48,43800,200,0.01,6,1.0,1000
49,58400,2,0.006,3,0.7,2000
50,58400,2,0.006,3,0.7,2000
51,58400,2,0.01,4,0.7,2000
52,58400,10,0.002,3,0.3,2000
53,58400,10,0.002,3,0.7,2000
54,58400,10,0.002,4,0.3,2000
55,58400,10,0.01,5,0.3,2000
56,58400,50,0.004,3,0.3,2000
57,58400,50,0.004,4,0.7,2000
58,58400,50,0.006,4,0.7,2000
59,58400,50,0.006,5,0.1,2000
60,58400,50,0.01,2,0.3,2000
61,58400,100,0.004,3,1.0,2000
62,58400,100,0.004,6,0.7,2000
63,58400,100,0.006,5,0.3,2000
64,58400,100,0.008,3,0.3,2000
65,58400,100,0.008,3,1.0,2000
66,58400,200,0.002,2,0.3,2000
67,58400,200,0.002,4,0.3,2000
68,58400,200,0.002,6,1.0,2000
69,58400,200,0.004,2,0.5,2000
70,58400,200,0.004,5,0.7,2000
71,58400,200,0.01,3,0.1,2000
72,58400,200,0.01,6,0.1,2000
73,87300,2,0.002,6,0.3,4000
74,87300,2,0.002,6,1.0,4000
75,87300,2,0.006,2,0.3,4000
76,87300,2,0.006,4,0.1,4000
77,87300,10,0.002,3,0.5,4000
78,87300,10,0.008,2,0.5,4000
79,87300,10,0.01,3,0.5,4000
80,87300,50,0.002,5,0.1,4000
81,87300,50,0.002,5,0.3,4000
82,87300,50,0.004,3,0.5,4000
83,87300,50,0.004,4,0.1,4000
84,87300,50,0.004,6,0.7,4000
85,87300,50,0.006,2,1.0,4000
86,87300,50,0.01,2,0.3,4000
87,87300,50,0.01,5,0.3,4000
88,87300,100,0.008,2,1.0,4000
89,87300,100,0.008,4,1.0,4000
90,87300,200,0.004,3,0.1,4000
91,87300,200,0.004,4,0.7,4000
92,87300,200,0.006,2,0.5,4000
93,87300,200,0.008,3,0.3,4000
94,87300,200,0.008,5,0.1,4000
95,87300,200,0.01,5,0.5,4000
96,87300,200,0.01,6,0.5,4000
97,116200,2,0.002,5,0.1,6000
98,116200,2,0.004,3,0.1,6000
99,116200,2,0.006,2,0.3,6000
100,116200,2,0.006,2,0.5,6000
101,116200,2,0.006,5,0.5,6000
102,116200,2,0.008,4,0.7,6000
103,116200,2,0.008,6,1.0,6000
104,116200,10,0.002,5,0.5,6000
105,116200,10,0.002,6,0.1,6000
106,116200,10,0.004,2,0.3,6000
107,116200,10,0.008,2,0.5,6000
108,116200,10,0.008,4,0.5,6000
109,116200,10,0.01,2,0.5,6000
110,116200,50,0.004,5,0.7,6000
111,116200,50,0.006,4,0.3,6000
112,116200,50,0.01,3,1.0,6000
113,116200,100,0.002,3,1.0,6000
114,116200,100,0.002,5,0.7,6000
115,116200,100,0.002,6,0.3,6000
116,116200,100,0.008,5,0.3,6000
117,116200,100,0.01,2,0.7,6000
118,116200,200,0.002,2,0.1,6000
119,116200,200,0.004,4,0.7,6000
120,116200,200,0.006,6,0.1,6000
