加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,,,,,脉宽_fs
1,-10.9,2.4,36140,10,0,1,20,533.3,20,0.26665,0.26665,500
2,-10.9,2,36140,20,0,2,30,266.65,10,0.17776666666666668,0.35553333333333337,500
3,-10.9,1.6,36140,10,0,2,30,533.3,20,0.17776666666666668,0.35553333333333337,500
4,-10.9,1.2,29400,5,0,5,30,1066.6,40,0.17776666666666668,0.8888333333333333,223
5,-10.9,0.8,36140,20,0,3,30,266.65,10,0.17776666666666668,0.5333,500
6,-10.9,0.4,43800,2,0,1,40,2666.5,100,0.133325,0.133325,1000
7,-10.9,0,58400,40,0,4,20,133.325,5,0.26665,1.0666,2000
8,-10.9,-0.4,58400,2,0,1,50,2666.5,100,0.10666,0.10666,2000
9,-10.9,-0.8,29400,10,0,4,10,533.3,20,0.5333,2.1332,223
10,-10.9,-1.2,58400,2,0,1,20,2666.5,100,0.26665,0.26665,2000
11,-10.9,-1.6,36140,20,0,5,10,266.65,10,0.5333,2.6665,500
12,-10.9,-2,87300,10,0,1,10,533.3,20,0.5333,0.5333,4000
13,-10.9,-2.4,29400,10,0,5,50,533.3,20,0.10666,0.5333,223
14,-10.9,-2.8,87300,10,0,1,20,533.3,20,0.26665,0.26665,4000
15,-10.9,-3.2,58400,5,0,1,50,1066.6,40,0.10666,0.10666,2000
16,-10.9,-3.6,36140,40,0,3,40,133.325,5,0.133325,0.399975,500
17,-10.9,-4,29400,20,0,4,10,266.65,10,0.5333,2.1332,223
18,-10.9,-4.4,36140,5,0,4,40,1066.6,40,0.133325,0.5333,500
19,-10.9,-4.8,36140,10,0,5,10,533.3,20,0.5333,2.6665,500
20,-10.9,-5.2,43800,5,0,4,50,1066.6,40,0.10666,0.42664,1000
21,-10.9,-5.6,87300,20,0,3,20,266.65,10,0.26665,0.79995,4000
22,-10.9,-6,87300,5,0,2,40,1066.6,40,0.133325,0.26665,4000
23,-10.9,-6.4,87300,40,0,2,40,133.325,5,0.133325,0.26665,4000
24,-10.9,-6.8,58400,5,0,4,20,1066.6,40,0.26665,1.0666,2000
25,-11.3,-6.8,58400,20,0,5,30,266.65,10,0.17776666666666668,0.8888333333333333,2000
26,-11.3,-6.4,29400,5,0,3,50,1066.6,40,0.10666,0.31998,223
27,-11.3,-6,87300,2,0,5,10,2666.5,100,0.5333,2.6665,4000
28,-11.3,-5.6,87300,2,0,4,20,2666.5,100,0.26665,1.0666,4000
29,-11.3,-5.2,43800,20,0,1,50,266.65,10,0.10666,0.10666,1000
30,-11.3,-4.8,29400,2,0,4,30,2666.5,100,0.17776666666666668,0.7110666666666667,223
31,-11.3,-4.4,43800,20,0,5,50,266.65,10,0.10666,0.5333,1000
32,-11.3,-4,43800,20,0,4,40,266.65,10,0.133325,0.5333,1000
33,-11.3,-3.6,43800,5,0,1,10,1066.6,40,0.5333,0.5333,1000
34,-11.3,-3.2,29400,40,0,2,20,133.325,5,0.26665,0.5333,223
35,-11.3,-2.8,29400,2,0,4,40,2666.5,100,0.133325,0.5333,223
36,-11.3,-2.4,58400,40,0,1,30,133.325,5,0.17776666666666668,0.17776666666666668,2000
37,-11.3,-2,58400,2,0,5,20,2666.5,100,0.26665,1.33325,2000
38,-11.3,-1.6,58400,5,0,3,20,1066.6,40,0.26665,0.79995,2000
39,-11.3,-1.2,29400,10,0,5,30,533.3,20,0.17776666666666668,0.8888333333333333,223
40,-11.3,-0.8,58400,40,0,2,40,133.325,5,0.133325,0.26665,2000
41,-11.3,-0.4,87300,10,0,3,10,533.3,20,0.5333,1.5999,4000
42,-11.3,0,87300,5,0,1,50,1066.6,40,0.10666,0.10666,4000
43,-11.3,0.4,87300,40,0,4,30,133.325,5,0.17776666666666668,0.7110666666666667,4000
44,-11.3,0.8,58400,40,0,1,40,133.325,5,0.133325,0.133325,2000
45,-11.3,1.2,58400,20,0,5,10,266.65,10,0.5333,2.6665,2000
46,-11.3,1.6,36140,5,0,3,30,1066.6,40,0.17776666666666668,0.5333,500
47,-11.3,2,36140,10,0,3,40,533.3,20,0.133325,0.399975,500
48,-11.3,2.4,87300,10,0,5,10,533.3,20,0.5333,2.6665,4000
49,-11.7,2.4,29400,2,0,4,20,2666.5,100,0.26665,1.0666,223
50,-11.7,2,58400,5,0,4,50,1066.6,40,0.10666,0.42664,2000
51,-11.7,1.6,87300,10,0,1,50,533.3,20,0.10666,0.10666,4000
52,-11.7,1.2,29400,2,0,4,50,2666.5,100,0.10666,0.42664,223
53,-11.7,0.8,87300,20,0,2,50,266.65,10,0.10666,0.21332,4000
54,-11.7,0.4,29400,20,0,1,30,266.65,10,0.17776666666666668,0.17776666666666668,223
55,-11.7,0,29400,40,0,4,40,133.325,5,0.133325,0.5333,223
56,-11.7,-0.4,43800,40,0,4,30,133.325,5,0.17776666666666668,0.7110666666666667,1000
57,-11.7,-0.8,43800,40,0,3,20,133.325,5,0.26665,0.79995,1000
58,-11.7,-1.2,58400,5,0,4,10,1066.6,40,0.5333,2.1332,2000
59,-11.7,-1.6,43800,10,0,5,10,533.3,20,0.5333,2.6665,1000
60,-11.7,-2,36140,2,0,1,40,2666.5,100,0.133325,0.133325,500
61,-11.7,-2.4,43800,2,0,3,30,2666.5,100,0.17776666666666668,0.5333,1000
62,-11.7,-2.8,43800,5,0,5,30,1066.6,40,0.17776666666666668,0.8888333333333333,1000
63,-11.7,-3.2,87300,20,0,1,30,266.65,10,0.17776666666666668,0.17776666666666668,4000
64,-11.7,-3.6,29400,2,0,3,50,2666.5,100,0.10666,0.31998,223
65,-11.7,-4,36140,10,0,2,10,533.3,20,0.5333,1.0666,500
66,-11.7,-4.4,36140,5,0,3,10,1066.6,40,0.5333,1.5999,500
67,-11.7,-4.8,36140,40,0,5,30,133.325,5,0.17776666666666668,0.8888333333333333,500
68,-11.7,-5.2,87300,5,0,5,50,1066.6,40,0.10666,0.5333,4000
69,-11.7,-5.6,43800,10,0,1,30,533.3,20,0.17776666666666668,0.17776666666666668,1000
70,-11.7,-6,87300,10,0,3,40,533.3,20,0.133325,0.399975,4000
71,-11.7,-6.4,29400,20,0,1,20,266.65,10,0.26665,0.26665,223
72,-11.7,-6.8,58400,40,0,3,20,133.325,5,0.26665,0.79995,2000
73,-12.1,-6.8,58400,2,0,1,40,2666.5,100,0.133325,0.133325,2000
74,-12.1,-6.4,87300,10,0,2,20,533.3,20,0.26665,0.5333,4000
75,-12.1,-6,29400,5,0,1,40,1066.6,40,0.133325,0.133325,223
76,-12.1,-5.6,43800,10,0,2,30,533.3,20,0.17776666666666668,0.35553333333333337,1000
77,-12.1,-5.2,29400,2,0,3,20,2666.5,100,0.26665,0.79995,223
78,-12.1,-4.8,43800,10,0,5,30,533.3,20,0.17776666666666668,0.8888333333333333,1000
79,-12.1,-4.4,36140,5,0,2,10,1066.6,40,0.5333,1.0666,500
80,-12.1,-4,29400,2,0,2,50,2666.5,100,0.10666,0.21332,223
81,-12.1,-3.6,29400,40,0,4,20,133.325,5,0.26665,1.0666,223
82,-12.1,-3.2,36140,2,0,5,50,2666.5,100,0.10666,0.5333,500
83,-12.1,-2.8,36140,20,0,5,30,266.65,10,0.17776666666666668,0.8888333333333333,500
84,-12.1,-2.4,58400,2,0,2,40,2666.5,100,0.133325,0.26665,2000
85,-12.1,-2,29400,20,0,5,10,266.65,10,0.5333,2.6665,223
86,-12.1,-1.6,43800,5,0,2,40,1066.6,40,0.133325,0.26665,1000
87,-12.1,-1.2,43800,20,0,2,50,266.65,10,0.10666,0.21332,1000
88,-12.1,-0.8,87300,20,0,3,50,266.65,10,0.10666,0.31998,4000
89,-12.1,-0.4,43800,40,0,2,50,133.325,5,0.10666,0.21332,1000
90,-12.1,0,58400,10,0,4,10,533.3,20,0.5333,2.1332,2000
91,-12.1,0.4,87300,10,0,3,50,533.3,20,0.10666,0.31998,4000
92,-12.1,0.8,29400,40,0,3,40,133.325,5,0.133325,0.399975,223
93,-12.1,1.2,58400,20,0,3,10,266.65,10,0.5333,1.5999,2000
94,-12.1,1.6,43800,40,0,3,50,133.325,5,0.10666,0.31998,1000
95,-12.1,2,87300,2,0,2,10,2666.5,100,0.5333,1.0666,4000
96,-12.1,2.4,36140,20,0,5,20,266.65,10,0.26665,1.33325,500
97,-12.5,2.4,36140,40,0,4,30,133.325,5,0.17776666666666668,0.7110666666666667,500
98,-12.5,2,43800,5,0,5,40,1066.6,40,0.133325,0.666625,1000
99,-12.5,1.6,43800,2,0,4,10,2666.5,100,0.5333,2.1332,1000
100,-12.5,1.2,58400,5,0,2,40,1066.6,40,0.133325,0.26665,2000
101,-12.5,0.8,29400,40,0,5,20,133.325,5,0.26665,1.33325,223
102,-12.5,0.4,87300,20,0,1,10,266.65,10,0.5333,0.5333,4000
103,-12.5,0,43800,40,0,4,20,133.325,5,0.26665,1.0666,1000
104,-12.5,-0.4,58400,10,0,3,30,533.3,20,0.17776666666666668,0.5333,2000
105,-12.5,-0.8,29400,5,0,5,40,1066.6,40,0.133325,0.666625,223
106,-12.5,-1.2,87300,40,0,4,40,133.325,5,0.133325,0.5333,4000
107,-12.5,-1.6,43800,40,0,2,20,133.325,5,0.26665,0.5333,1000
108,-12.5,-2,36140,5,0,3,20,1066.6,40,0.26665,0.79995,500
109,-12.5,-2.4,58400,2,0,1,10,2666.5,100,0.5333,0.5333,2000
110,-12.5,-2.8,87300,20,0,2,20,266.65,10,0.26665,0.5333,4000
111,-12.5,-3.2,43800,10,0,1,40,533.3,20,0.133325,0.133325,1000
