加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,5.3,0.3,43800,40,0.008,5,50,1000
2,5.3,-0.8,43800,40,0.008,6,50,1000
3,5.3,-1.9,58400,40,0.01,5,40,2000
4,5.3,-3,58400,40,0.01,6,40,2000
5,5.3,-4.1,36140,10,0.006,5,50,500
6,5.3,-5.2,36140,10,0.006,6,50,500
7,5.3,-6.3,43800,2,0.01,5,10,1000
8,5.3,-7.4,43800,2,0.01,6,10,1000
9,5.3,-8.5,87300,5,0.002,5,50,4000
10,5.3,-9.6,87300,5,0.002,6,50,4000
11,5.3,-10.7,36140,20,0.004,5,20,500
12,5.3,-11.8,36140,20,0.004,6,20,500
13,5.3,-12.9,87300,5,0.008,5,10,4000
14,5.3,-14,87300,5,0.008,6,10,4000
15,5.3,-15.1,58400,2,0.002,5,40,2000
16,5.3,-16.2,58400,2,0.002,6,40,2000
17,5.3,-17.3,43800,5,0.006,5,10,1000
18,5.3,-18.4,43800,5,0.006,6,10,1000
19,5.3,-19.5,87300,2,0.002,5,30,4000
20,5.3,-20.6,87300,2,0.002,6,30,4000
