,序号,compressor,频率,间距,次数,速度,,时间,,,脉宽_fs
1,,36140,2,0.004,1,10,,,,,500
2,3,36140,2,0.004,4,10,,,,,500
3,4,36140,2,0.003,6,15,,2008,,,500
4,9,36140,2,0.002,5,20,,2011,,,500
5,10,36140,2,0.006,3,10,*,2015,,,500
6,13,36140,2,0.006,6,20,,2016,,,500
7,18,36140,2,0.005,4,15,,2018,,,500
8,25,36140,2,0.006,6,5,,2020,,,500
9,30,36140,2,0.005,6,10,,2022,,,500
10,34,36140,2,0.004,5,1,*,2024,,,500
11,,36140,5,0.004,5,1,,2027,,,500
12,37,36140,5,0.003,2,1,,2030,,,500
13,44,36140,5,0.005,6,10,,2032,,,500
14,,36140,5,0.005,6,20,,2035,,,500
15,52,36140,5,0.005,5,20,*,2036,,,500
16,56,36140,5,0.006,3,15,,2038,,,500
17,57,36140,5,0.002,5,1,,2039,,,500
18,60,36140,10,0.005,2,10,,2044,,,500
19,66,36140,10,0.005,5,20,,2045,,,500
20,70,36140,10,0.004,4,20,*,2047,,,500
21,82,36140,10,0.003,2,20,,2049,,,500
22,70,36140,20,0.004,4,20,,2051,,,500
23,82,36140,20,0.003,2,20,,2052,,,500
24,84,36140,20,0.003,6,1,,2054,,,500
25,89,36140,20,0.003,2,15,*,2058,,,500
26,93,36140,20,0.004,4,1,,2100,,,500
27,97,36140,20,0.002,3,1,,2102,,,500
28,114,36140,50,0.005,5,1,,2105,,,500
29,118,36140,50,0.006,6,20,,2108,,,500
30,5,43800,2,0.002,4,10,*,2110,,,1000
31,11,43800,2,0.006,2,20,,2114,,,1000
32,16,43800,5,0.005,3,15,,2115,,,1000
33,23,43800,5,0.003,5,10,,2116,,,1000
34,24,43800,5,0.002,5,10,,2120,,,1000
35,33,43800,5,0.004,3,10,*,2124,,,1000
36,38,43800,5,0.003,2,15,,2126,,,1000
37,46,43800,10,0.004,4,1,,2128,,,1000
38,47,43800,10,0.003,6,20,,2131,,,1000
39,53,43800,10,0.003,3,1,,2134,,,1000
40,54,43800,10,0.005,2,20,*,2137,,,1000
41,63,43800,10,0.006,4,20,,2138,,,1000
42,64,43800,10,0.005,6,5,,2139,,,1000
43,68,43800,20,0.006,4,15,,2141,,,1000
44,69,43800,20,0.002,3,15,,2143,,,1000
45,72,43800,20,0.006,6,20,*,2146,,,1000
46,75,43800,20,0.004,2,1,,2147,,,1000
47,,,,,,,,2152,废数据,78+81在同一位置重复加工,
48,78,43800,20,0.005,6,1,,2154,,,1000
49,81,43800,20,0.004,6,5,,2157,,,1000
50,94,43800,50,0.004,4,10,,2200,,,1000
51,95,43800,50,0.006,4,15,*,2203,,,1000
52,100,43800,50,0.006,6,20,,2204,,,1000
53,106,43800,50,0.005,5,20,,2207,,,1000
54,110,43800,50,0.004,4,5,,2212,,,1000
55,6,58400,2,0.006,4,15,,2214,,,2000
,12,58400,2,0.004,3,15,,2216,,,2000
57,17,58400,2,0.002,3,15,*,2219,,,2000
58,20,58400,5,0.002,3,5,,2224,,,2000
59,21,58400,5,0.002,4,5,,2227,,,2000
60,26,58400,5,0.002,3,15,,2230,,,2000
61,29,58400,5,0.006,5,5,,2233,,,2000
62,39,58400,10,0.003,3,5,*,2235,,,2000
63,45,58400,10,0.004,5,1,,2238,,,2000
64,49,58400,10,0.003,4,15,,2241,,,2000
65,55,58400,10,0.006,2,5,,2243,,,2000
66,59,58400,10,0.004,4,15,,2244,,,2000
67,61,58400,20,0.003,3,20,*,2246,,,2000
68,62,58400,20,0.005,3,5,,2248,,,2000
69,65,58400,20,0.005,3,20,,2249,,,2000
70,76,58400,20,0.004,5,5,,2250,,,2000
71,77,58400,20,0.003,6,15,,2253,,,2000
72,83,58400,50,0.006,3,1,*,2256,,,2000
73,85,58400,50,0.006,6,1,,2257,,,2000
74,90,58400,50,0.002,6,20,,2300,,,2000
75,99,58400,50,0.002,4,5,,2304,,,2000
76,104,58400,50,0.003,2,10,,2307,,,2000
77,105,58400,50,0.002,2,5,*,2308,,,2000
78,115,58400,50,0.003,5,15,,2310,,,2000
79,40,87300,2,0.004,2,5,,2314,,,4000
80,74,87300,2,0.002,6,20,,2315,,,4000
81,80,87300,2,0.002,6,5,,2318,,,4000
82,91,87300,2,0.004,4,1,*,2325,,,4000
83,8,87300,5,0.002,3,10,,2327,,,4000
84,107,87300,5,0.005,2,10,,2329,,,4000
85,113,87300,5,0.006,3,10,,2331,,,4000
86,22,87300,10,0.002,5,1,,2332,,,4000
87,27,87300,10,0.003,4,1,*,2336,,,4000
88,42,87300,10,0.006,2,5,,2340,,,4000
89,43,87300,10,0.004,2,20,,2341,,,4000
90,86,87300,10,0.003,3,10,*,2342,换行了,,4000
91,,87300,10,0.003,3,15,,2347,,,4000
92,101,87300,10,0.003,6,15,,2349,,,4000
93,108,87300,10,0.002,5,5,,2352,,,4000
94,120,87300,10,0.006,5,5,,2356,,,4000
95,14,87300,20,0.005,4,20,*,2358,,,4000
96,32,87300,20,0.005,2,20,,2359,,,4000
97,31,87300,50,0.004,2,10,,0000,,,4000
98,36,87300,50,0.003,3,1,,0002,,,4000
99,50,87300,50,0.006,6,10,,0004,,,4000
100,71,87300,50,0.005,5,1,*,0006,,,4000
101,112,87300,50,0.003,4,15,,0008,,,4000
102,119,87300,50,0.005,3,5,,0010,,,4000
103,1,87300,50,0.006,5,10,,0011,,,4000
104,41,116200,2,0.003,3,1,,0013,,,6000
105,51,116200,2,0.005,6,20,,0016,,,6000
,,116200,2,0.005,6,20,*,0019,,,6000
106,67,116200,2,0.002,5,1,,0021,,,6000
107,79,116200,2,0.005,4,15,,0026,,,6000
108,96,116200,2,0.004,2,10,,0027,,,6000
109,102,116200,2,0.004,5,10,,0028,,,6000
110,103,116200,2,0.004,2,5,*,0030,,,6000
,,116200,2,0.002,5,10,,0031,,,6000
111,28,116200,5,0.002,5,10,,0036,,,6000
112,58,116200,5,0.003,2,5,,0039,,,6000
113,88,116200,5,0.006,2,10,,0043,,,6000
114,98,116200,5,0.005,4,10,,0044,,,6000
115,111,116200,5,0.002,6,1,*,0045,,,6000
116,116,116200,5,0.005,2,10,,0051,,,6000
117,2,116200,10,0.003,5,15,,0052,,,6000
118,109,116200,10,0.006,3,20,,0055,,,6000
119,117,116200,10,0.004,4,5,,0056,,,6000
120,7,116200,20,0.002,6,5,*,0058,,,6000
121,15,116200,20,0.006,2,15,,0102,,,6000
122,35,116200,20,0.002,5,15,,0103,,,6000
123,48,116200,20,0.002,3,20,,0107,,,6000
124,87,116200,20,0.005,5,5,,0109,,,6000
125,19,116200,50,0.003,4,15,,0111,,,6000
126,73,116200,50,0.002,2,1,,0113,,,6000
127,92,116200,50,0.004,6,1,,0115,,,6000
128,,,,,,,,,,,
129,,,,,,,,,,,
