加工顺序,起点X,起点Y,终点X,终点Y,compressor,功率百分比,脉宽_fs
1,-7.5,0.7,-7.1,0.7,29400,15,223
2,-7.5,0.5,-7.1,0.5,29400,20,223
3,-7.5,0.3,-7.1,0.3,29400,25,223
4,-7.5,0.1,-7.1,0.1,29400,30,223
5,-7.5,-0.1,-7.1,-0.1,29400,35,223
6,-7.5,-0.3,-7.1,-0.3,29400,40,223
7,-7.5,-0.5,-7.1,-0.5,29400,45,223
8,-7.5,-0.7,-7.1,-0.7,29400,50,223
9,-7.5,-0.9,-7.1,-0.9,29400,55,223
10,-7.5,-1.1,-7.1,-1.1,29400,60,223
11,-7.5,-1.3,-7.1,-1.3,29400,65,223
12,-7.5,-1.5,-7.1,-1.5,29400,70,223
13,-7.5,-1.7,-7.1,-1.7,29400,75,223
14,-7.5,-1.9,-7.1,-1.9,29400,80,223
15,-7.5,-2.1,-7.1,-2.1,29400,85,223
16,-7.5,-2.3,-7.1,-2.3,29400,90,223
17,-7.5,-2.5,-7.1,-2.5,29400,95,223
18,-7.5,-2.7,-7.1,-2.7,29400,100,223
19,-7.5,-2.9,-7.1,-2.9,36140,15,500
20,-7.5,-3.1,-7.1,-3.1,36140,20,500
21,-7.5,-3.3,-7.1,-3.3,36140,25,500
22,-7.5,-3.5,-7.1,-3.5,36140,30,500
23,-7.5,-3.7,-7.1,-3.7,36140,35,500
24,-7.5,-3.9,-7.1,-3.9,36140,40,500
25,-7.5,-4.1,-7.1,-4.1,36140,45,500
26,-7.5,-4.3,-7.1,-4.3,36140,50,500
27,-7.5,-4.5,-7.1,-4.5,36140,55,500
28,-7.5,-4.7,-7.1,-4.7,36140,60,500
29,-7.5,-4.9,-7.1,-4.9,36140,65,500
30,-7.5,-5.1,-7.1,-5.1,36140,70,500
31,-7.5,-5.3,-7.1,-5.3,36140,75,500
32,-7.5,-5.5,-7.1,-5.5,36140,80,500
33,-7.5,-5.7,-7.1,-5.7,36140,85,500
34,-7.5,-5.9,-7.1,-5.9,36140,90,500
35,-7.5,-6.1,-7.1,-6.1,36140,95,500
36,-7.5,-6.3,-7.1,-6.3,36140,100,500
37,-7.5,-6.5,-7.1,-6.5,43800,15,1000
38,-7.5,-6.7,-7.1,-6.7,43800,20,1000
39,-7.5,-6.9,-7.1,-6.9,43800,25,1000
40,-7.5,-7.1,-7.1,-7.1,43800,30,1000
41,-7.5,-7.3,-7.1,-7.3,43800,35,1000
42,-7.5,-7.5,-7.1,-7.5,43800,40,1000
43,-7.5,-7.7,-7.1,-7.7,43800,45,1000
44,-7.5,-7.9,-7.1,-7.9,43800,50,1000
45,-7.5,-8.1,-7.1,-8.1,43800,55,1000
46,-7.5,-8.3,-7.1,-8.3,43800,60,1000
47,-7.5,-8.5,-7.1,-8.5,43800,65,1000
48,-7.5,-8.7,-7.1,-8.7,43800,70,1000
49,-7.5,-8.9,-7.1,-8.9,43800,75,1000
50,-7.5,-9.1,-7.1,-9.1,43800,80,1000
51,-7.5,-9.3,-7.1,-9.3,43800,85,1000
52,-7.5,-9.5,-7.1,-9.5,43800,90,1000
53,-7.5,-9.7,-7.1,-9.7,43800,95,1000
54,-7.5,-9.9,-7.1,-9.9,43800,100,1000
55,-7.5,-10.1,-7.1,-10.1,58400,15,2000
56,-7.5,-10.3,-7.1,-10.3,58400,20,2000
57,-7.5,-10.5,-7.1,-10.5,58400,25,2000
58,-7.5,-10.7,-7.1,-10.7,58400,30,2000
59,-7.5,-10.9,-7.1,-10.9,58400,35,2000
60,-7.5,-11.1,-7.1,-11.1,58400,40,2000
61,-7.5,-11.3,-7.1,-11.3,58400,45,2000
62,-7.5,-11.5,-7.1,-11.5,58400,50,2000
63,-7.5,-11.7,-7.1,-11.7,58400,55,2000
64,-7.5,-11.9,-7.1,-11.9,58400,60,2000
65,-7.5,-12.1,-7.1,-12.1,58400,65,2000
66,-7.5,-12.3,-7.1,-12.3,58400,70,2000
67,-7.5,-12.5,-7.1,-12.5,58400,75,2000
68,-7.5,-12.7,-7.1,-12.7,58400,80,2000
69,-7.5,-12.9,-7.1,-12.9,58400,85,2000
70,-7.5,-13.1,-7.1,-13.1,58400,90,2000
71,-7.5,-13.3,-7.1,-13.3,58400,95,2000
72,-7.5,-13.5,-7.1,-13.5,58400,100,2000
