加工顺序,X1,Y1,X2,Y2,线间距,compressor,频率,次数,速度,脉宽_fs
1,-2.9,-0.6,-2.7,-0.6,1,36140,10,1,10,500
2,-2.9,-0.9,-2.7,-0.9,1,36140,20,2,15,500
3,-2.9,-1.2,-2.7,-1.2,1,36140,10,2,15,500
4,-2.9,-1.5,-2.7,-1.5,1,29400,5,5,15,223
5,-2.9,-1.8,-2.7,-1.8,1,36140,20,3,15,500
6,-2.9,-2.1,-2.7,-2.1,1,43800,2,1,20,1000
7,-2.9,-2.4,-2.7,-2.4,1,58400,40,4,10,2000
8,-2.9,-2.7,-2.7,-2.7,1,58400,2,1,25,2000
9,-2.9,-3.0,-2.7,-3.0,1,29400,10,4,5,223
10,-2.9,-3.3,-2.7,-3.3,1,58400,2,1,10,2000
11,-2.9,-3.6,-2.7,-3.6,1,36140,20,5,5,500
12,-2.9,-3.9,-2.7,-3.9,1,87300,10,1,5,4000
13,-2.9,-4.2,-2.7,-4.2,1,29400,10,5,25,223
14,-2.9,-4.5,-2.7,-4.5,1,87300,10,1,10,4000
15,-2.9,-4.8,-2.7,-4.8,1,58400,5,1,25,2000
16,-2.9,-5.1,-2.7,-5.1,1,36140,40,3,20,500
17,-2.9,-5.4,-2.7,-5.4,1,29400,20,4,5,223
18,-2.9,-5.7,-2.7,-5.7,1,36140,5,4,20,500
19,-2.9,-6.0,-2.7,-6.0,1,36140,10,5,5,500
20,-2.9,-6.3,-2.7,-6.3,1,43800,5,4,25,1000
21,-2.9,-6.6,-2.7,-6.6,1,87300,20,3,10,4000
22,-2.9,-6.9,-2.7,-6.9,1,87300,5,2,20,4000
23,-2.9,-7.2,-2.7,-7.2,1,87300,40,2,20,4000
24,-2.9,-7.5,-2.7,-7.5,1,58400,5,4,10,2000
25,-3.2,-7.5,-3.0,-7.5,1,58400,20,5,15,2000
26,-3.2,-7.2,-3.0,-7.2,1,29400,5,3,25,223
27,-3.2,-6.9,-3.0,-6.9,1,87300,2,5,5,4000
28,-3.2,-6.6,-3.0,-6.6,1,87300,2,4,10,4000
29,-3.2,-6.3,-3.0,-6.3,1,43800,20,1,25,1000
30,-3.2,-6.0,-3.0,-6.0,1,29400,2,4,15,223
31,-3.2,-5.7,-3.0,-5.7,1,43800,20,5,25,1000
32,-3.2,-5.4,-3.0,-5.4,1,43800,20,4,20,1000
33,-3.2,-5.1,-3.0,-5.1,1,43800,5,1,5,1000
34,-3.2,-4.8,-3.0,-4.8,1,29400,40,2,10,223
35,-3.2,-4.5,-3.0,-4.5,1,29400,2,4,20,223
36,-3.2,-4.2,-3.0,-4.2,1,58400,40,1,15,2000
37,-3.2,-3.9,-3.0,-3.9,1,58400,2,5,10,2000
38,-3.2,-3.6,-3.0,-3.6,1,58400,5,3,10,2000
39,-3.2,-3.3,-3.0,-3.3,1,29400,10,5,15,223
40,-3.2,-3.0,-3.0,-3.0,1,58400,40,2,20,2000
41,-3.2,-2.7,-3.0,-2.7,1,87300,10,3,5,4000
42,-3.2,-2.4,-3.0,-2.4,1,87300,5,1,25,4000
43,-3.2,-2.1,-3.0,-2.1,1,87300,40,4,15,4000
44,-3.2,-1.8,-3.0,-1.8,1,58400,40,1,20,2000
45,-3.2,-1.5,-3.0,-1.5,1,58400,20,5,5,2000
46,-3.2,-1.2,-3.0,-1.2,1,36140,5,3,15,500
47,-3.2,-0.9,-3.0,-0.9,1,36140,10,3,20,500
48,-3.2,-0.6,-3.0,-0.6,1,87300,10,5,5,4000
49,-3.5,-0.6,-3.3,-0.6,1,29400,2,4,10,223
50,-3.5,-0.9,-3.3,-0.9,1,58400,5,4,25,2000
51,-3.5,-1.2,-3.3,-1.2,1,87300,10,1,25,4000
52,-3.5,-1.5,-3.3,-1.5,1,29400,2,4,25,223
53,-3.5,-1.8,-3.3,-1.8,1,87300,20,2,25,4000
54,-3.5,-2.1,-3.3,-2.1,1,29400,20,1,15,223
55,-3.5,-2.4,-3.3,-2.4,1,29400,40,4,20,223
56,-3.5,-2.7,-3.3,-2.7,1,43800,40,4,15,1000
57,-3.5,-3.0,-3.3,-3.0,1,43800,40,3,10,1000
58,-3.5,-3.3,-3.3,-3.3,1,58400,5,4,5,2000
59,-3.5,-3.6,-3.3,-3.6,1,43800,10,5,5,1000
60,-3.5,-3.9,-3.3,-3.9,1,36140,2,1,20,500
61,-3.5,-4.2,-3.3,-4.2,1,43800,2,3,15,1000
62,-3.5,-4.5,-3.3,-4.5,1,43800,5,5,15,1000
63,-3.5,-4.8,-3.3,-4.8,1,87300,20,1,15,4000
64,-3.5,-5.1,-3.3,-5.1,1,29400,2,3,25,223
65,-3.5,-5.4,-3.3,-5.4,1,36140,10,2,5,500
66,-3.5,-5.7,-3.3,-5.7,1,36140,5,3,5,500
67,-3.5,-6.0,-3.3,-6.0,1,36140,40,5,15,500
68,-3.5,-6.3,-3.3,-6.3,1,87300,5,5,25,4000
69,-3.5,-6.6,-3.3,-6.6,1,43800,10,1,15,1000
70,-3.5,-6.9,-3.3,-6.9,1,87300,10,3,20,4000
71,-3.5,-7.2,-3.3,-7.2,1,29400,20,1,10,223
72,-3.5,-7.5,-3.3,-7.5,1,58400,40,3,10,2000
73,-3.8,-7.5,-3.6,-7.5,1,58400,2,1,20,2000
74,-3.8,-7.2,-3.6,-7.2,1,87300,10,2,10,4000
75,-3.8,-6.9,-3.6,-6.9,1,29400,5,1,20,223
76,-3.8,-6.6,-3.6,-6.6,1,43800,10,2,15,1000
77,-3.8,-6.3,-3.6,-6.3,1,29400,2,3,10,223
78,-3.8,-6.0,-3.6,-6.0,1,43800,10,5,15,1000
79,-3.8,-5.7,-3.6,-5.7,1,36140,5,2,5,500
80,-3.8,-5.4,-3.6,-5.4,1,29400,2,2,25,223
81,-3.8,-5.1,-3.6,-5.1,1,29400,40,4,10,223
82,-3.8,-4.8,-3.6,-4.8,1,36140,2,5,25,500
83,-3.8,-4.5,-3.6,-4.5,1,36140,20,5,15,500
84,-3.8,-4.2,-3.6,-4.2,1,58400,2,2,20,2000
85,-3.8,-3.9,-3.6,-3.9,1,29400,20,5,5,223
86,-3.8,-3.6,-3.6,-3.6,1,43800,5,2,20,1000
87,-3.8,-3.3,-3.6,-3.3,1,43800,20,2,25,1000
88,-3.8,-3.0,-3.6,-3.0,1,87300,20,3,25,4000
89,-3.8,-2.7,-3.6,-2.7,1,43800,40,2,25,1000
90,-3.8,-2.4,-3.6,-2.4,1,58400,10,4,5,2000
91,-3.8,-2.1,-3.6,-2.1,1,87300,10,3,25,4000
92,-3.8,-1.8,-3.6,-1.8,1,29400,40,3,20,223
93,-3.8,-1.5,-3.6,-1.5,1,58400,20,3,5,2000
94,-3.8,-1.2,-3.6,-1.2,1,43800,40,3,25,1000
95,-3.8,-0.9,-3.6,-0.9,1,87300,2,2,5,4000
96,-3.8,-0.6,-3.6,-0.6,1,36140,20,5,10,500
97,-4.1,-0.6,-3.9,-0.6,1,36140,40,4,15,500
98,-4.1,-0.9,-3.9,-0.9,1,43800,5,5,20,1000
99,-4.1,-1.2,-3.9,-1.2,1,43800,2,4,5,1000
100,-4.1,-1.5,-3.9,-1.5,1,58400,5,2,20,2000
101,-4.1,-1.8,-3.9,-1.8,1,29400,40,5,10,223
102,-4.1,-2.1,-3.9,-2.1,1,87300,20,1,5,4000
103,-4.1,-2.4,-3.9,-2.4,1,43800,40,4,10,1000
104,-4.1,-2.7,-3.9,-2.7,1,58400,10,3,15,2000
105,-4.1,-3.0,-3.9,-3.0,1,29400,5,5,20,223
106,-4.1,-3.3,-3.9,-3.3,1,87300,40,4,20,4000
107,-4.1,-3.6,-3.9,-3.6,1,43800,40,2,10,1000
108,-4.1,-3.9,-3.9,-3.9,1,36140,5,3,10,500
109,-4.1,-4.2,-3.9,-4.2,1,58400,2,1,5,2000
110,-4.1,-4.5,-3.9,-4.5,1,87300,20,2,10,4000
111,-4.1,-4.8,-3.9,-4.8,1,43800,10,1,20,1000
112,-4.1,-5.1,-3.9,-5.1,1,36140,5,1,25,500
113,-4.1,-5.4,-3.9,-5.4,1,58400,40,5,15,2000
114,-4.1,-5.7,-3.9,-5.7,1,36140,2,2,10,500
115,-4.1,-6.0,-3.9,-6.0,1,43800,10,2,5,1000
116,-4.1,-6.3,-3.9,-6.3,1,29400,20,2,25,223
117,-4.1,-6.6,-3.9,-6.6,1,87300,2,2,15,4000
