加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,-4.1,-8,29400,5,0.01,5,20,223
2,-4.1,-8.5,29400,5,0.01,6,20,223
3,-4.1,-9,87300,10,0.01,5,20,4000
4,-4.1,-9.5,87300,10,0.01,6,20,4000
5,-4.1,-10,43800,40,0.006,5,25,1000
6,-4.1,-10.5,43800,40,0.006,6,25,1000
7,-4.1,-11,29400,20,0.004,5,25,223
8,-4.1,-11.5,29400,20,0.004,6,25,223
9,-4.1,-12,36140,20,0.006,5,15,500
10,-4.1,-12.5,36140,20,0.006,6,15,500
11,-4.1,-13,87300,5,0.008,5,10,4000
12,-4.1,-13.5,87300,5,0.008,6,10,4000
13,-4.1,-14,58400,10,0.008,5,5,2000
14,-4.1,-14.5,58400,10,0.008,6,5,2000
15,-4.1,-15,87300,20,0.002,5,15,4000
16,-4.1,-15.5,87300,20,0.002,6,15,4000
17,-4.1,-16,43800,2,0.002,5,10,1000
18,-4.1,-16.5,43800,2,0.002,6,10,1000
19,-4.1,-17,58400,2,0.002,5,5,2000
20,-4.1,-17.5,58400,2,0.002,6,5,2000
