加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,-7,13,29400,2,0.002,4,200,223
2,-7,12.4,29400,2,0.004,5,175,223
3,-7,11.8,29400,2,0.006,3,150,223
4,-7,11.2,29400,2,0.008,3,175,223
5,-7,10.6,29400,2,0.008,5,150,223
6,-7,10,29400,2,0.01,2,150,223
7,-7,9.4,29400,2,0.01,5,125,223
8,-7,8.8,29400,2,0.01,5,200,223
9,-7,8.2,29400,5,0.002,4,100,223
10,-7,7.6,29400,5,0.004,1,100,223
11,-7,7,29400,5,0.006,4,100,223
12,-7,6.4,29400,5,0.008,4,200,223
13,-7,5.8,29400,5,0.008,5,150,223
14,-7,5.2,29400,5,0.01,2,175,223
15,-7,4.6,29400,10,0.008,1,150,223
16,-7,4,29400,10,0.008,4,200,223
17,-7,3.4,29400,20,0.002,2,100,223
18,-7,2.8,29400,20,0.004,1,175,223
19,-7,2.2,29400,20,0.004,1,200,223
20,-7,1.6,29400,20,0.004,5,100,223
21,-7,1,29400,20,0.006,3,100,223
22,-7,0.4,29400,20,0.006,3,200,223
23,-7,-0.2,29400,40,0.008,4,100,223
24,-7,-0.8,29400,40,0.01,5,200,223
25,-7.6,-0.8,36140,2,0.002,3,150,500
26,-7.6,-0.2,36140,2,0.01,1,200,500
27,-7.6,0.4,36140,5,0.002,4,150,500
28,-7.6,1,36140,5,0.004,1,175,500
29,-7.6,1.6,36140,5,0.004,4,150,500
30,-7.6,2.2,36140,5,0.006,2,150,500
31,-7.6,2.8,36140,5,0.008,2,175,500
32,-7.6,3.4,36140,10,0.004,2,100,500
33,-7.6,4,36140,10,0.004,5,200,500
34,-7.6,4.6,36140,10,0.006,3,100,500
35,-7.6,5.2,36140,10,0.008,1,200,500
36,-7.6,5.8,36140,10,0.008,5,125,500
37,-7.6,6.4,36140,10,0.01,3,200,500
38,-7.6,7,36140,20,0.002,2,175,500
39,-7.6,7.6,36140,20,0.006,1,100,500
40,-7.6,8.2,36140,20,0.006,5,125,500
41,-7.6,8.8,36140,20,0.008,5,100,500
42,-7.6,9.4,36140,20,0.01,3,175,500
43,-7.6,10,36140,20,0.01,5,200,500
44,-7.6,10.6,36140,40,0.006,3,125,500
45,-7.6,11.2,36140,40,0.006,3,150,500
46,-7.6,11.8,36140,40,0.008,4,200,500
47,-7.6,12.4,36140,40,0.01,3,175,500
48,-7.6,13,36140,40,0.01,5,200,500
49,-8.2,13,43800,2,0.006,2,175,1000
50,-8.2,12.4,43800,2,0.006,2,175,1000
51,-8.2,11.8,43800,2,0.01,3,175,1000
52,-8.2,11.2,43800,5,0.002,2,125,1000
53,-8.2,10.6,43800,5,0.002,2,175,1000
54,-8.2,10,43800,5,0.002,3,125,1000
55,-8.2,9.4,43800,5,0.01,4,125,1000
56,-8.2,8.8,43800,10,0.004,2,125,1000
57,-8.2,8.2,43800,10,0.004,3,175,1000
58,-8.2,7.6,43800,10,0.006,3,175,1000
59,-8.2,7,43800,10,0.006,4,100,1000
60,-8.2,6.4,43800,10,0.01,1,125,1000
61,-8.2,5.8,43800,20,0.004,2,200,1000
62,-8.2,5.2,43800,20,0.004,5,175,1000
63,-8.2,4.6,43800,20,0.006,4,125,1000
64,-8.2,4,43800,20,0.008,2,125,1000
65,-8.2,3.4,43800,20,0.008,2,200,1000
66,-8.2,2.8,43800,40,0.002,1,125,1000
67,-8.2,2.2,43800,40,0.002,3,125,1000
68,-8.2,1.6,43800,40,0.002,5,200,1000
69,-8.2,1,43800,40,0.004,1,150,1000
70,-8.2,0.4,43800,40,0.004,4,175,1000
71,-8.2,-0.2,43800,40,0.01,2,100,1000
72,-8.2,-0.8,43800,40,0.01,5,100,1000
73,-8.8,-0.8,58400,2,0.002,5,125,2000
74,-8.8,-0.2,58400,2,0.002,5,200,2000
75,-8.8,0.4,58400,2,0.006,1,125,2000
76,-8.8,1,58400,2,0.006,3,100,2000
77,-8.8,1.6,58400,5,0.002,2,150,2000
78,-8.8,2.2,58400,5,0.008,1,150,2000
79,-8.8,2.8,58400,5,0.01,2,150,2000
80,-8.8,3.4,58400,10,0.002,4,100,2000
81,-8.8,4,58400,10,0.002,4,125,2000
82,-8.8,4.6,58400,10,0.004,2,150,2000
83,-8.8,5.2,58400,10,0.004,3,100,2000
84,-8.8,5.8,58400,10,0.004,5,175,2000
85,-8.8,6.4,58400,10,0.006,1,200,2000
86,-8.8,7,58400,10,0.01,1,125,2000
87,-8.8,7.6,58400,10,0.01,4,125,2000
88,-8.8,8.2,58400,20,0.008,1,200,2000
89,-8.8,8.8,58400,20,0.008,3,200,2000
90,-8.8,9.4,58400,40,0.004,2,100,2000
91,-8.8,10,58400,40,0.004,3,175,2000
92,-8.8,10.6,58400,40,0.006,1,150,2000
93,-8.8,11.2,58400,40,0.008,2,125,2000
94,-8.8,11.8,58400,40,0.008,4,100,2000
95,-8.8,12.4,58400,40,0.01,4,150,2000
96,-8.8,13,58400,40,0.01,5,150,2000
97,-9.4,13,87300,2,0.002,4,100,4000
98,-9.4,12.4,87300,2,0.004,2,100,4000
99,-9.4,11.8,87300,2,0.006,1,125,4000
100,-9.4,11.2,87300,2,0.006,1,150,4000
101,-9.4,10.6,87300,2,0.006,4,150,4000
102,-9.4,10,87300,2,0.008,3,175,4000
103,-9.4,9.4,87300,2,0.008,5,200,4000
104,-9.4,8.8,87300,5,0.002,4,150,4000
105,-9.4,8.2,87300,5,0.002,5,100,4000
106,-9.4,7.6,87300,5,0.004,1,125,4000
107,-9.4,7,87300,5,0.008,1,150,4000
108,-9.4,6.4,87300,5,0.008,3,150,4000
109,-9.4,5.8,87300,5,0.01,1,150,4000
110,-9.4,5.2,87300,10,0.004,4,175,4000
111,-9.4,4.6,87300,10,0.006,3,125,4000
112,-9.4,4,87300,10,0.01,2,200,4000
113,-9.4,3.4,87300,20,0.002,2,200,4000
114,-9.4,2.8,87300,20,0.002,4,175,4000
115,-9.4,2.2,87300,20,0.002,5,125,4000
116,-9.4,1.6,87300,20,0.008,4,125,4000
117,-9.4,1,87300,20,0.01,1,175,4000
118,-9.4,0.4,87300,40,0.002,1,100,4000
119,-9.4,-0.2,87300,40,0.004,3,175,4000
