加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,-11.2,-22.2,29400,40,0.004,1,175,223
2,-11.2,-22.6,29400,40,0.004,2,175,223
3,-11.2,-23,29400,40,0.004,3,175,223
4,-11.2,-23.4,29400,40,0.004,4,175,223
5,-11.2,-23.8,87300,20,0.002,4,150,4000
6,-11.2,-24.2,87300,20,0.002,2,150,4000
7,-11.2,-24.6,87300,20,0.002,3,150,4000
8,-11.2,-25,87300,20,0.002,1,150,4000
9,-11.2,-25.4,43800,40,0.006,2,200,1000
10,-11.2,-25.8,43800,40,0.006,1,200,1000
11,-11.2,-26.2,43800,40,0.006,3,200,1000
12,-11.2,-26.6,43800,40,0.006,4,200,1000
13,-11.6,-26.6,29400,20,0.004,4,200,223
14,-11.6,-26.2,29400,20,0.004,1,200,223
15,-11.6,-25.8,29400,20,0.004,2,200,223
16,-11.6,-25.4,29400,20,0.004,3,200,223
17,-11.6,-25,58400,10,0.008,4,100,2000
18,-11.6,-24.6,58400,10,0.008,2,100,2000
19,-11.6,-24.2,58400,10,0.008,3,100,2000
20,-11.6,-23.8,58400,10,0.008,1,100,2000
21,-11.6,-23.4,36140,10,0.008,1,100,500
22,-11.6,-23,36140,10,0.008,2,100,500
23,-11.6,-22.6,36140,10,0.008,4,100,500
24,-11.6,-22.2,36140,10,0.008,3,100,500
25,-12,-22.2,87300,10,0.01,3,175,4000
26,-12,-22.6,87300,10,0.01,2,175,4000
27,-12,-23,87300,10,0.01,1,175,4000
28,-12,-23.4,87300,10,0.01,4,175,4000
29,-12,-23.8,58400,2,0.002,2,100,2000
30,-12,-24.2,58400,2,0.002,3,100,2000
31,-12,-24.6,58400,2,0.002,1,100,2000
32,-12,-25,58400,2,0.002,4,100,2000
33,-12,-25.4,29400,5,0.01,2,175,223
34,-12,-25.8,29400,5,0.01,3,175,223
35,-12,-26.2,29400,5,0.01,1,175,223
36,-12,-26.6,29400,5,0.01,4,175,223
37,-12.4,-26.6,36140,20,0.006,1,150,500
38,-12.4,-26.2,36140,20,0.006,2,150,500
39,-12.4,-25.8,36140,20,0.006,3,150,500
40,-12.4,-25.4,36140,20,0.006,4,150,500
41,-12.4,-25,43800,40,0.01,3,150,1000
42,-12.4,-24.6,43800,40,0.01,4,150,1000
43,-12.4,-24.2,43800,40,0.01,1,150,1000
44,-12.4,-23.8,43800,40,0.01,2,150,1000
45,-12.4,-23.4,58400,2,0.004,3,125,2000
46,-12.4,-23,58400,2,0.004,4,125,2000
47,-12.4,-22.6,58400,2,0.004,1,125,2000
48,-12.4,-22.2,58400,2,0.004,2,125,2000
49,-12.8,-22.2,43800,2,0.002,4,125,1000
50,-12.8,-22.6,43800,2,0.002,1,125,1000
51,-12.8,-23,43800,2,0.002,2,125,1000
52,-12.8,-23.4,43800,2,0.002,3,125,1000
53,-12.8,-23.8,87300,5,0.008,4,125,4000
54,-12.8,-24.2,87300,5,0.008,1,125,4000
55,-12.8,-24.6,87300,5,0.008,2,125,4000
56,-12.8,-25,87300,5,0.008,3,125,4000
57,-12.8,-25.4,36140,5,0.006,4,200,500
58,-12.8,-25.8,36140,5,0.006,1,200,500
59,-12.8,-26.2,36140,5,0.006,3,200,500
60,-12.8,-26.6,36140,5,0.006,2,200,500
