source,group,center_x_um,center_y_um,area_um2,median_depth_um,p10_depth_um,max_depth_um,valid_fraction
60Pass组.cag,MeasureData20260528095129,569.6520,271.1226,35209.6664,-29.2077,-32.4778,-36.7855,1.0000
60Pass组.cag,MeasureData20260528095129,153.1358,274.6970,24366.5831,-4.1292,-5.9259,-18.3315,1.0000
60Pass组.cag,MeasureData20260528095327,563.0522,260.9094,40782.5352,-40.1573,-43.1703,-48.2413,1.0000
60Pass组.cag,MeasureData20260528095327,164.2634,264.1368,40724.7288,-36.3399,-40.1596,-44.8973,1.0000
60Pass组.cag,MeasureData20260528095540,154.5285,282.7825,41455.2454,-32.0452,-33.5577,-35.9629,1.0000
60Pass组.cag,MeasureData20260528095540,559.3655,281.1037,38552.1321,-23.6947,-26.2821,-29.9475,1.0000
60Pass组.cag,MeasureData20260528095738,149.5293,279.5331,41057.9448,-28.5666,-30.6390,-36.1490,1.0000
60Pass组.cag,MeasureData20260528095738,574.2179,277.3000,29902.1384,-15.6620,-18.6415,-25.4137,1.0000
60Pass组.cag,MeasureData20260528095917,156.6765,278.2741,39493.7368,-24.1959,-28.8275,-33.7529,1.0000
60Pass组.cag,MeasureData20260528095917,569.6873,211.4389,11919.3722,-17.6529,-20.6260,-23.7727,1.0000
60Pass组.cag,MeasureData20260528095917,564.7634,351.7146,8093.2517,-5.6642,-11.0467,-25.0597,1.0000
60Pass组.cag,MeasureData20260528100107,545.7184,287.1085,40678.7680,-35.4211,-37.6300,-41.3840,1.0000
60Pass组.cag,MeasureData20260528100107,147.1178,289.9953,40256.1179,-30.5003,-33.9073,-38.1713,1.0000
60Pass组.cag,MeasureData20260528100247,537.4841,272.2383,40355.6207,-34.7121,-38.1194,-42.5565,1.0000
60Pass组.cag,MeasureData20260528100247,156.3709,271.1330,18409.4438,-7.1614,-14.3750,-23.2385,1.0000
60Pass组.cag,MeasureData20260528100438,160.4561,262.0778,38775.5396,-30.5301,-34.7074,-39.7592,1.0000
60Pass组.cag,MeasureData20260528100438,566.7195,261.3351,35540.7502,-22.6912,-26.7810,-34.0456,1.0000
60Pass组.cag,MeasureData20260528100713,545.8700,263.3403,41059.8401,-23.1440,-24.8977,-29.1449,1.0000
60Pass组.cag,MeasureData20260528100713,142.7110,265.6068,38584.3520,-13.0305,-15.7580,-23.9839,1.0000
60Pass组.cag,MeasureData20260528100912,145.8382,258.0684,39939.9595,-6.5978,-8.8176,-19.0459,1.0000
60Pass组.cag,MeasureData20260528100912,542.5754,256.7766,39418.1620,-18.9712,-21.0530,-27.1840,1.0000
60Pass组.cag,MeasureData20260528101129,143.1801,261.5343,40578.4360,-13.6353,-16.2079,-24.5394,1.0000
60Pass组.cag,MeasureData20260528101129,544.0371,258.6445,39514.9403,-7.4110,-9.1752,-18.9598,1.0000
60Pass组.cag,MeasureData20260528101338,546.5314,253.1842,39710.1554,-25.0581,-26.9010,-34.3888,1.0000
60Pass组.cag,MeasureData20260528101338,147.6657,255.6672,39144.1739,-19.8044,-22.3486,-31.1062,1.0000
60Pass组.cag,MeasureData20260528101543,146.8717,273.4102,39562.6780,-9.0541,-15.6991,-21.5821,1.0000
60Pass组.cag,MeasureData20260528101543,545.9261,270.1499,38859.1693,-6.4410,-11.4293,-20.5766,1.0000
60Pass组.cag,MeasureData20260528101753,534.6334,293.8950,50301.4018,-11.3253,-20.6328,-28.4640,1.0000
60Pass组.cag,MeasureData20260528101753,95.5782,228.9876,9007.6116,-4.2444,-6.7374,-12.9662,1.0000
60Pass组.cag,MeasureData20260528101753,211.3498,182.6916,626.2755,-4.0729,-5.9475,-9.6045,1.0000
60Pass组.cag,MeasureData20260528101753,130.8389,348.9433,580.4331,-4.0662,-6.2179,-10.9106,1.0000
60Pass组.cag,MeasureData20260528101753,171.1698,353.2423,390.7855,-4.2811,-6.7271,-11.2616,1.0000
60Pass组.cag,MeasureData20260528101753,90.5840,287.2965,242.3604,-3.4730,-3.8962,-4.9799,1.0000
60Pass组.cag,MeasureData20260528101753,110.6334,300.9459,206.8237,-3.3878,-3.7770,-5.1638,1.0000
60Pass组.cag,MeasureData20260528101950,543.9099,254.6982,40400.9893,-15.8265,-19.2793,-27.0310,1.0000
60Pass组.cag,MeasureData20260528101950,145.2230,257.3985,40276.2554,-9.7695,-13.8147,-25.6571,1.0000
60Pass组.cag,MeasureData20260528102159,552.5821,264.9312,41409.5215,-20.1836,-22.5123,-28.0121,1.0000
60Pass组.cag,MeasureData20260528102159,152.5745,269.3745,38710.0336,-5.0406,-7.3580,-17.3165,1.0000
60Pass组.cag,MeasureData20260528102357,540.5558,262.6815,37756.2279,-4.4664,-9.1971,-15.4745,1.0000
60Pass组.cag,MeasureData20260528102357,138.2937,188.1396,8624.2888,-4.8004,-10.3740,-14.3695,1.0000
60Pass组.cag,MeasureData20260528102357,137.6149,349.2745,7390.2168,-5.5597,-12.8090,-16.5297,1.0000
60Pass组.cag,MeasureData20260528102357,368.5792,283.4296,611.9424,-3.7400,-4.7514,-5.9092,1.0000
60Pass组.cag,MeasureData20260528102616,553.7385,263.4061,36219.8569,-6.1291,-10.6972,-15.7964,1.0000
60Pass组.cag,MeasureData20260528102616,155.0138,358.8609,3696.5299,-6.1409,-9.8245,-16.9886,1.0000
60Pass组.cag,MeasureData20260528102616,185.8774,173.0599,1819.4802,-4.8872,-7.6847,-13.8826,1.0000
60Pass组.cag,MeasureData20260528102616,70.5242,175.9176,553.6621,-4.4773,-7.2565,-11.5100,1.0000
60Pass组.cag,MeasureData20260528102819,158.1439,267.4414,40047.6358,-17.1193,-22.6373,-27.3953,1.0000
60Pass组.cag,MeasureData20260528102819,556.8902,262.4312,37900.1517,-9.3249,-13.4499,-21.0719,1.0000
60Pass组.cag,MeasureData20260528103025,161.4164,258.9637,41430.3697,-28.5433,-32.9425,-37.0310,1.0000
60Pass组.cag,MeasureData20260528103025,561.9392,256.0001,40850.8842,-22.8182,-28.0256,-31.8254,1.0000
60Pass组.cag,MeasureData20260528103227,547.0294,255.8139,40644.8897,-24.3996,-27.7220,-31.3987,1.0000
60Pass组.cag,MeasureData20260528103227,142.2548,258.0703,39104.4912,-29.1380,-31.9621,-34.9247,1.0000
60Pass组.cag,MeasureData20260528103433,141.9105,255.0856,39446.2360,-17.7458,-21.0391,-26.2645,1.0000
60Pass组.cag,MeasureData20260528103433,538.9186,254.8578,32164.9984,-5.6464,-9.4290,-17.8248,1.0000
60Pass组.cag,MeasureData20260528103641,147.0617,260.4025,33928.8044,-4.6868,-12.8392,-19.7958,1.0000
60Pass组.cag,MeasureData20260528103641,562.3544,332.3361,10553.8144,-5.5536,-15.0746,-19.9094,1.0000
60Pass组.cag,MeasureData20260528103641,459.5203,38.9010,7858.9462,-8.0963,-12.8533,-15.8492,1.0000
60Pass组.cag,MeasureData20260528103641,562.4921,178.1597,6880.2649,-5.7180,-11.8294,-17.2453,1.0000
60Pass组.cag,MeasureData20260528103641,401.9211,211.2965,2983.6632,-6.5589,-9.0383,-12.6156,1.0000
60Pass组.cag,MeasureData20260528103641,464.3441,491.2068,1639.7828,-4.9729,-8.0724,-11.1485,1.0000
60Pass组.cag,MeasureData20260528103641,468.1662,267.2216,1045.8457,-4.1079,-5.1847,-6.4049,1.0000
60Pass组.cag,MeasureData20260528103641,431.8619,516.0575,253.2584,-3.8756,-5.9397,-8.8021,1.0000
60Pass组.cag,MeasureData20260528103846,151.1745,172.4671,6847.3342,-5.0619,-9.9826,-12.7833,1.0000
60Pass组.cag,MeasureData20260528103846,152.9317,343.2990,5205.3007,-6.6835,-13.3957,-16.7458,1.0000
60Pass组.cag,MeasureData20260528103846,559.6654,348.3152,3052.2491,-6.4448,-9.6645,-14.4491,1.0000
60Pass组.cag,MeasureData20260528103846,543.7586,160.1815,2007.1141,-4.7577,-7.0717,-11.0740,1.0000
60Pass组.cag,MeasureData20260528103846,637.5041,159.5031,311.5386,-4.3672,-7.1529,-9.7755,1.0000
60Pass组.cag,MeasureData20260528104046,146.2326,255.5332,36640.9671,-11.5114,-18.1999,-23.9461,1.0000
60Pass组.cag,MeasureData20260528104046,558.9051,335.4279,8074.2988,-5.3248,-12.4236,-22.1959,1.0000
60Pass组.cag,MeasureData20260528104046,558.6673,173.2241,6964.0131,-4.6453,-9.5936,-14.3462,1.0000
