source,group,center_x_um,center_y_um,area_um2,median_depth_um,p10_depth_um,max_depth_um,erode_px,inner_px,valid_fraction
60Pass组.cag,MeasureData20260528095129,569.6520,271.1226,35209.6664,-29.6238,-31.7699,-35.4762,20.0000,201701,1.0000
60Pass组.cag,MeasureData20260528095129,153.1358,274.6970,24366.5831,-5.2318,-8.2800,-12.8242,20.0000,16531,1.0000
60Pass组.cag,MeasureData20260528095327,563.0522,260.9094,40782.5352,-40.3955,-43.2252,-47.3997,20.0000,299334,1.0000
60Pass组.cag,MeasureData20260528095327,164.2634,264.1368,40724.7288,-36.6701,-40.2061,-44.8771,20.0000,296993,1.0000
60Pass组.cag,MeasureData20260528095540,154.5285,282.7825,41455.2454,-32.1854,-33.5902,-35.9629,20.0000,305009,1.0000
60Pass组.cag,MeasureData20260528095540,559.3655,281.1037,38552.1321,-23.8605,-26.2686,-28.8904,20.0000,277388,1.0000
60Pass组.cag,MeasureData20260528095738,149.5293,279.5331,41057.9448,-28.7588,-30.6685,-32.6566,20.0000,301530,1.0000
60Pass组.cag,MeasureData20260528095738,574.2179,277.3000,29902.1384,-15.8327,-18.5645,-25.4137,20.0000,202473,1.0000
60Pass组.cag,MeasureData20260528095917,156.6765,278.2741,39493.7368,-24.4840,-28.7721,-32.8463,20.0000,287296,1.0000
60Pass组.cag,MeasureData20260528095917,569.6873,211.4389,11919.3722,-18.2539,-20.4748,-23.2082,20.0000,64544,1.0000
60Pass组.cag,MeasureData20260528095917,564.7634,351.7146,8093.2517,-8.8142,-12.7189,-25.0597,20.0000,29176,1.0000
60Pass组.cag,MeasureData20260528100107,545.7184,287.1085,40678.7680,-35.5677,-37.6741,-41.1022,20.0000,298824,1.0000
60Pass组.cag,MeasureData20260528100107,147.1178,289.9953,40256.1179,-30.6997,-33.8935,-37.5424,20.0000,294845,1.0000
60Pass组.cag,MeasureData20260528100247,537.4841,272.2383,40355.6207,-34.8812,-38.1553,-41.0738,20.0000,295421,1.0000
60Pass组.cag,MeasureData20260528100247,156.3709,271.1330,18409.4438,-13.3452,-14.5086,-20.4158,20.0000,69105,1.0000
60Pass组.cag,MeasureData20260528100438,160.4561,262.0778,38775.5396,-31.0079,-34.7731,-39.7592,20.0000,279741,1.0000
60Pass组.cag,MeasureData20260528100438,566.7195,261.3351,35540.7502,-23.2632,-26.8086,-34.0456,20.0000,240809,1.0000
60Pass组.cag,MeasureData20260528100713,545.8700,263.3403,41059.8401,-23.2256,-24.8406,-29.1449,20.0000,301444,1.0000
60Pass组.cag,MeasureData20260528100713,142.7110,265.6068,38584.3520,-13.0917,-15.4219,-23.9839,20.0000,280653,1.0000
60Pass组.cag,MeasureData20260528100912,145.8382,258.0684,39939.9595,-6.5778,-8.4534,-15.8547,20.0000,283986,1.0000
60Pass组.cag,MeasureData20260528100912,542.5754,256.7766,39418.1620,-19.0653,-21.0250,-27.1840,20.0000,288122,1.0000
60Pass组.cag,MeasureData20260528101129,143.1801,261.5343,40578.4360,-13.6397,-15.0896,-23.9982,20.0000,280393,1.0000
60Pass组.cag,MeasureData20260528101129,544.0371,258.6445,39514.9403,-7.3811,-8.7093,-17.7807,20.0000,285405,1.0000
60Pass组.cag,MeasureData20260528101338,546.5314,253.1842,39710.1554,-25.1396,-26.8647,-34.3888,20.0000,290582,1.0000
60Pass组.cag,MeasureData20260528101338,147.6657,255.6672,39144.1739,-19.9080,-22.2313,-31.1062,20.0000,285538,1.0000
60Pass组.cag,MeasureData20260528101543,146.8717,273.4102,39562.6780,-8.9242,-13.7330,-21.3640,20.0000,268917,1.0000
60Pass组.cag,MeasureData20260528101543,545.9261,270.1499,38859.1693,-6.4958,-11.2708,-20.5766,20.0000,263414,1.0000
60Pass组.cag,MeasureData20260528101753,534.6334,293.8950,50301.4018,-11.7562,-19.8143,-27.4453,20.0000,336032,1.0000
60Pass组.cag,MeasureData20260528101753,95.5782,228.9876,9007.6116,-6.0288,-8.5057,-10.4772,20.0000,3669,1.0000
60Pass组.cag,MeasureData20260528101753,211.3498,182.6916,626.2755,-4.0729,-5.9475,-9.6045,0.0000,5287,1.0000
60Pass组.cag,MeasureData20260528101753,130.8389,348.9433,580.4331,-4.0662,-6.2179,-10.9106,0.0000,4900,1.0000
60Pass组.cag,MeasureData20260528101753,171.1698,353.2423,390.7855,-4.2811,-6.7271,-11.2616,0.0000,3299,1.0000
60Pass组.cag,MeasureData20260528101753,90.5840,287.2965,242.3604,-3.4730,-3.8962,-4.9799,0.0000,2046,1.0000
60Pass组.cag,MeasureData20260528101753,110.6334,300.9459,206.8237,-3.3878,-3.7770,-5.1638,0.0000,1746,1.0000
60Pass组.cag,MeasureData20260528101950,543.9099,254.6982,40400.9893,-15.8952,-19.2673,-27.0310,20.0000,295874,1.0000
60Pass组.cag,MeasureData20260528101950,145.2230,257.3985,40276.2554,-9.8210,-13.3127,-25.6571,20.0000,294993,1.0000
60Pass组.cag,MeasureData20260528102159,552.5821,264.9312,41409.5215,-20.3158,-22.5383,-28.0121,20.0000,303708,1.0000
60Pass组.cag,MeasureData20260528102159,152.5745,269.3745,38710.0336,-5.0420,-6.4974,-17.2477,20.0000,273247,1.0000
60Pass组.cag,MeasureData20260528102357,540.5558,262.6815,37756.2279,-5.0877,-7.8317,-12.5290,20.0000,137969,1.0000
60Pass组.cag,MeasureData20260528102357,138.2937,188.1396,8624.2888,-6.6933,-9.3268,-12.5311,20.0000,19442,1.0000
60Pass组.cag,MeasureData20260528102357,137.6149,349.2745,7390.2168,-6.4047,-9.7997,-15.6854,20.0000,10256,1.0000
60Pass组.cag,MeasureData20260528102357,368.5792,283.4296,611.9424,-4.8097,-5.0940,-5.9092,20.0000,325,1.0000
60Pass组.cag,MeasureData20260528102616,553.7385,263.4061,36219.8569,-5.9890,-8.7873,-12.2124,20.0000,237929,1.0000
60Pass组.cag,MeasureData20260528102616,155.0138,358.8609,3696.5299,-8.2210,-11.0473,-15.7142,20.0000,2035,1.0000
60Pass组.cag,MeasureData20260528102616,185.8774,173.0599,1819.4802,-6.5082,-7.2688,-8.9388,20.0000,279,1.0000
60Pass组.cag,MeasureData20260528102616,70.5242,175.9176,553.6621,-4.4773,-7.2565,-11.5100,0.0000,4674,1.0000
60Pass组.cag,MeasureData20260528102819,158.1439,267.4414,40047.6358,-17.4080,-22.5520,-27.3953,20.0000,292253,1.0000
60Pass组.cag,MeasureData20260528102819,556.8902,262.4312,37900.1517,-9.3602,-12.8801,-21.0719,20.0000,270220,1.0000
60Pass组.cag,MeasureData20260528103025,161.4164,258.9637,41430.3697,-28.8156,-32.9952,-37.0310,20.0000,304722,1.0000
60Pass组.cag,MeasureData20260528103025,561.9392,256.0001,40850.8842,-23.0965,-27.9614,-31.5494,20.0000,299600,1.0000
