tau_fs,f_kHz,hatch_mm,v_mm_s,N1,N2,N3,N4,monotonic
1000,2,0.002,10,6.49,5.40,10.17,11.34,False
1000,40,0.006,25,18.25,24.48,30.70,35.57,True
1000,40,0.01,15,7.11,17.94,24.58,29.35,True
2000,10,0.008,5,6.58,13.09,19.07,23.23,True
2000,2,0.002,5,5.04,9.82,15.90,20.32,True
2000,2,0.004,10,5.84,5.63,5.89,5.80,False
223,20,0.004,25,13.35,23.26,31.01,34.88,True
223,40,0.004,20,5.23,29.62,36.67,40.40,True
223,5,0.01,20,8.22,6.69,5.09,5.99,False
4000,10,0.01,20,6.03,6.50,8.92,11.76,True
4000,20,0.002,15,15.83,23.86,28.76,32.19,True
4000,5,0.008,10,7.32,5.50,4.98,6.68,False
500,10,0.008,5,7.38,13.64,19.91,25.14,True
500,20,0.006,15,9.36,17.41,23.10,28.82,True
500,5,0.006,25,5.20,4.96,7.51,10.64,False
