# 分组五折划分（seed=20260911，同 condition_group 不跨侧）
fold,train_records,validation_records,train_design_rank,validation_groups
0,14,3,10,P16.5_v1.0_N100;P16.5_v2.0_N50;P16.5_v3.0_N100
1,14,3,9,P11.1_v1.0_N50;P16.5_v2.0_N150;P11.1_v3.0_N150
2,14,3,10,P6.5_v3.0_N100;P6.5_v2.0_N150;P6.5_v1.0_N100
3,15,2,10,P6.5_v2.0_N50;P11.1_v1.0_N150
4,11,6,9,P11.1_v3.0_N50;P11.1_v2.0_N100

# 逐样本：训练拟合 vs 分组五折 OOF（OOF 才是泛化指标）
case_id,condition_group,width_um_measured,width_um_fit,width_um_oof,depth_um_measured,depth_um_fit,depth_um_oof,Ra_um_measured,Ra_um_fit,Ra_um_oof
D01-01,P16.5_v2.0_N50,46.49,46.86733228931589,48.30928966117371,13.74,13.73809363513605,2.8166605175068744,0.92,0.9111685668326786,0.598125499280771
D01-02,P11.1_v3.0_N150,40.46,40.74647719301768,36.86516896874514,18.28,18.004658958082395,20.37518683327696,1.12,1.1230709047293765,1.269990124830682
D01-03,P11.1_v2.0_N100,38.91,40.776079888860174,35.50917085698807,16.73,17.446473682867314,18.481660313990623,0.98,1.0243991019850378,1.3121411937835108
D01-04,P6.5_v3.0_N100,23.57,23.697962207243194,23.47516098834224,4.92,5.00666019073714,10.643044548837853,0.41,0.3917079387912452,0.5060392930238184
D01-05,P11.1_v1.0_N150,40.72,40.86101810938126,41.256317144770975,45.82,43.48552397161507,39.91448569143383,3.27,3.1879395956631997,2.9990653540131373
D01-06,P6.5_v1.0_N100,24.47,24.75323600443174,24.906605213222925,10.69,12.957813339772558,23.878317283990008,0.95,1.0200536656434114,1.3484137256620488
D01-07,P6.5_v2.0_N50,25.5,25.5853483414398,25.5492528617337,4.34,1.8167666335255828,-2.0281556116245216,0.43,0.3649635498258821,0.3244684648130988
D01-08,P11.1_v2.0_N100,40.88,40.776079888860174,35.50917085698807,18.03,17.446473682867314,18.481660313990623,0.95,1.0243991019850378,1.3121411937835108
D01-09,P16.5_v2.0_N150,48.2,48.16438187501861,48.75318084802601,38.6,40.91479817772701,50.81226120848436,2.93,2.9876234448698025,3.2591165085339266
D01-10,P11.1_v2.0_N100,41.16,40.776079888860174,35.50917085698807,17.32,17.446473682867314,18.481660313990623,1.1,1.0243991019850378,1.3121411937835108
D01-11,P11.1_v1.0_N50,40.82,40.51445060907186,35.78495192265288,18.58,18.851616927785543,16.166456148544945,1.24,1.2371482977369768,1.227075662428209
D01-12,P16.5_v3.0_N100,46.36,46.10953072572522,46.21981411002168,18.27,16.190903871479584,3.8961662958907612,0.98,0.9184126995195282,0.548559757439776
D01-13,P6.5_v2.0_N150,26.23,25.833430917616706,24.92800744387536,9.35,9.599078468056435,18.95770222881844,0.88,0.8971721194466803,1.1704207409550758
D01-14,P16.5_v1.0_N100,46.07,45.95460239122771,46.565362651921866,45.28,45.010616370311155,39.421350702718335,3.12,3.130005247345047,3.025421964714418
D01-15,P11.1_v3.0_N50,39.79,39.631829892209524,39.146254810231625,6.94,9.231101041434918,16.084367111571666,0.51,0.5887384596709835,0.824869401517409
D01-16,P11.1_v2.0_N100,40.52,40.776079888860174,35.50917085698807,17.21,17.446473682867314,18.481660313990623,1.02,1.0243991019850378,1.3121411937835108
D01-17,P11.1_v2.0_N100,42.45,40.776079888860174,35.50917085698807,17.94,17.446473682867314,18.481660313990623,1.07,1.0243991019850378,1.3121411937835108

# 留出验证（未参与拟合）
case_id,width_um_measured,width_um_predicted,depth_um_measured,depth_um_predicted,Ra_um_measured,Ra_um_predicted
D01-18,45.48,46.09111354652559,20.71,20.03470982631016,1.1,1.1669608570001198
