sample_id,pulse_duration_fs,repetition_rate_kHz,hatch_spacing_um,scan_speed_mm_s,pass_count,mean_depth_um,source_row,summary_monotonic,source_file,observation_definition
zr-pass-050,1000.0,2.0,2.0,10.0,1,6.49,51,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-051,1000.0,2.0,2.0,10.0,2,5.4,52,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-052,1000.0,2.0,2.0,10.0,3,10.17,53,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-049,1000.0,2.0,2.0,10.0,4,11.34,50,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-010,1000.0,40.0,6.0,25.0,1,18.25,11,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-009,1000.0,40.0,6.0,25.0,2,24.48,10,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-011,1000.0,40.0,6.0,25.0,3,30.7,12,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-012,1000.0,40.0,6.0,25.0,4,35.57,13,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-043,1000.0,40.0,10.0,15.0,1,7.11,44,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-044,1000.0,40.0,10.0,15.0,2,17.94,45,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-041,1000.0,40.0,10.0,15.0,3,24.58,42,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-042,1000.0,40.0,10.0,15.0,4,29.35,43,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-020,2000.0,10.0,8.0,5.0,1,6.58,21,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-018,2000.0,10.0,8.0,5.0,2,13.09,19,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-019,2000.0,10.0,8.0,5.0,3,19.07,20,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-017,2000.0,10.0,8.0,5.0,4,23.23,18,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-031,2000.0,2.0,2.0,5.0,1,5.04,32,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-029,2000.0,2.0,2.0,5.0,2,9.82,30,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-030,2000.0,2.0,2.0,5.0,3,15.9,31,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-032,2000.0,2.0,2.0,5.0,4,20.32,33,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-047,2000.0,2.0,4.0,10.0,1,5.84,48,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-048,2000.0,2.0,4.0,10.0,2,5.63,49,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-045,2000.0,2.0,4.0,10.0,3,5.89,46,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-046,2000.0,2.0,4.0,10.0,4,5.8,47,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-014,223.0,20.0,4.0,25.0,1,13.35,15,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-015,223.0,20.0,4.0,25.0,2,23.26,16,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-016,223.0,20.0,4.0,25.0,3,31.01,17,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-013,223.0,20.0,4.0,25.0,4,34.88,14,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-001,223.0,40.0,4.0,20.0,1,5.23,2,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-002,223.0,40.0,4.0,20.0,2,29.62,3,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-003,223.0,40.0,4.0,20.0,3,36.67,4,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-004,223.0,40.0,4.0,20.0,4,40.4,5,True,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-035,223.0,5.0,10.0,20.0,1,8.22,36,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-033,223.0,5.0,10.0,20.0,2,6.69,34,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
zr-pass-034,223.0,5.0,10.0,20.0,3,5.09,35,False,C:\Users\RZF\Desktop\博士课题资料\工艺仿真软件\ultrafast-demo\docs\experiments\laser_proc_2026-09-18\depth_vs_passes.csv,audited_depth_vs_passes_mean_um
