index,time_s,focus_x_m,focus_y_m,focus_z_m,direction_x,direction_y,direction_z,energy_J,segment_id,pass_id
0,0.0,-2.9999999999999997e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,1
1,1e-05,-1.9999999999999998e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,1
2,2e-05,-9.999999999999999e-06,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,1
3,3e-05,0.0,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,1
4,4e-05,9.999999999999999e-06,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,1
5,5e-05,1.999999999999999e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,1
6,6e-05,2.9999999999999997e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,1
7,0.00014,3.9999999999999996e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,2,1
8,0.00015,3.0000000000000024e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,2,1
9,0.00016,1.9999999999999998e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,2,1
10,0.00017,9.999999999999999e-06,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,2,1
11,0.00018,0.0,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,2,1
12,0.00019,-9.999999999999999e-06,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,2,1
13,0.0002,-1.9999999999999998e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,2,1
14,0.00028,-2.9999999999999997e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,4,1
15,0.00029,-2.0000000000000032e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,4,1
16,0.0003,-1.0000000000000063e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,4,1
17,0.00031,-4.0657581468206416e-20,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,4,1
18,0.00032,9.999999999999979e-06,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,4,1
19,0.00033,1.999999999999995e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,4,1
20,0.00034,2.999999999999997e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,4,1
21,0.00042,3.9999999999999996e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,6,1
22,0.00043,3.0000000000000085e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,6,1
23,0.00044,2.0000000000000063e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,6,1
24,0.00045,1.000000000000009e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,6,1
25,0.00046,7.453889935837843e-20,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,6,1
26,0.00047,-9.999999999999897e-06,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,6,1
27,0.00048,-1.9999999999999917e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,6,1
28,0.00056,-2.9999999999999997e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,8,1
29,0.00057,-2.0000000000000076e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,8,1
30,0.00058,-1.0000000000000047e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,8,1
31,0.00059,-1.6940658945086007e-20,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,8,1
32,0.0006,9.999999999999904e-06,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,8,1
33,0.00061,1.9999999999999937e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,8,1
34,0.00062,2.9999999999999963e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,8,1
35,0.0007,-2.9999999999999997e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,10,2
36,0.00071,-1.9999999999999968e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,10,2
37,0.00072,-9.999999999999938e-06,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,10,2
38,0.00073,-1.6940658945086007e-20,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,10,2
39,0.00074,1.0000000000000013e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,10,2
40,0.00075,2.0000000000000046e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,10,2
41,0.00076,3.0000000000000072e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,10,2
42,0.00084,3.999999999999989e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,12,2
43,0.00085,2.9999999999999967e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,12,2
44,0.00086,1.9999999999999937e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,12,2
45,0.00087,9.999999999999908e-06,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,12,2
46,0.00088,-1.2197274440461925e-19,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,12,2
47,0.00089,-1.0000000000000047e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,12,2
48,0.0009,-2.0000000000000073e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,12,2
49,0.00098,-2.9999999999999997e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,14,2
50,0.00099,-1.9999999999999968e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,14,2
51,0.001,-9.999999999999938e-06,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,14,2
52,0.00101,9.147955830346444e-20,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,14,2
53,0.00102,1.0000000000000121e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,14,2
54,0.00103,2.0000000000000154e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,14,2
55,0.00104,2.9999999999999963e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,14,2
56,0.00112,3.9999999999999996e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,16,2
57,0.00113,2.9999999999999967e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,16,2
58,0.00114,1.9999999999999937e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,16,2
59,0.00115,9.999999999999908e-06,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,16,2
60,0.00116,-1.2197274440461925e-19,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,16,2
61,0.00117,-1.0000000000000155e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,16,2
62,0.00118,-2.000000000000018e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,16,2
63,0.00126,-2.999999999999978e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,18,2
64,0.00127,-1.999999999999975e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,18,2
65,0.00128,-9.999999999999721e-06,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,18,2
66,0.00129,9.147955830346444e-20,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,18,2
67,0.0013,1.0000000000000121e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,18,2
68,0.00131,2.0000000000000154e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,18,2
69,0.00132,3.000000000000018e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,18,2
70,0.0014,-2.999999999999978e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,20,3
71,0.00141,-1.999999999999975e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,20,3
72,0.00142,-9.999999999999721e-06,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,20,3
73,0.00143,3.083199928005653e-19,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,20,3
74,0.00144,1.0000000000000338e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,20,3
75,0.00145,2.0000000000000154e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,20,3
76,0.00146,3.000000000000018e-05,-3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,20,3
77,0.00154,3.999999999999978e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,22,3
78,0.00155,2.999999999999975e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,22,3
79,0.00156,1.999999999999972e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,22,3
80,0.00157,9.99999999999969e-06,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,22,3
81,0.00158,-3.3881317890172014e-19,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,22,3
82,0.00159,-1.0000000000000372e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,22,3
83,0.0016,-2.0000000000000398e-05,-1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,22,3
84,0.00168,-2.9999999999999564e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,24,3
85,0.00169,-1.9999999999999534e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,24,3
86,0.0017,-9.999999999999721e-06,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,24,3
87,0.00171,3.083199928005653e-19,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,24,3
88,0.00172,1.0000000000000338e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,24,3
89,0.00173,2.000000000000037e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,24,3
90,0.00174,3.0000000000000397e-05,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,24,3
91,0.00182,3.999999999999956e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,26,3
92,0.00183,2.9999999999999533e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,26,3
93,0.00184,1.9999999999999504e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,26,3
94,0.00185,9.999999999999474e-06,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,26,3
95,0.00186,-5.55653613398821e-19,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,26,3
96,0.00187,-1.0000000000000372e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,26,3
97,0.00188,-2.0000000000000398e-05,1.9999999999999998e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,26,3
98,0.00196,-2.9999999999999564e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,28,3
99,0.00197,-1.9999999999999565e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,28,3
100,0.00198,-9.999999999999565e-06,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,28,3
101,0.00199,4.336808689942018e-19,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,28,3
102,0.002,1.0000000000000433e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,28,3
103,0.00201,2.0000000000000432e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,28,3
104,0.00202,3.000000000000043e-05,3.9999999999999996e-05,0.0,0.0,0.0,1.0,1.1606702178681694e-05,28,3
