section,axis,coord,depth,height
y=0,x,-7e-05,0.0,0.0
y=0,x,-6.9e-05,0.0,0.0
y=0,x,-6.8e-05,0.0,0.0
y=0,x,-6.7e-05,0.0,0.0
y=0,x,-6.599999999999999e-05,0.0,0.0
y=0,x,-6.5e-05,0.0,0.0
y=0,x,-6.4e-05,0.0,0.0
y=0,x,-6.3e-05,0.0,0.0
y=0,x,-6.2e-05,0.0,0.0
y=0,x,-6.1e-05,0.0,0.0
y=0,x,-5.9999999999999995e-05,0.0,0.0
y=0,x,-5.9e-05,0.0,0.0
y=0,x,-5.8e-05,0.0,0.0
y=0,x,-5.6999999999999996e-05,0.0,0.0
y=0,x,-5.6e-05,0.0,0.0
y=0,x,-5.4999999999999995e-05,0.0,0.0
y=0,x,-5.4e-05,0.0,0.0
y=0,x,-5.3e-05,0.0,0.0
y=0,x,-5.2e-05,0.0,0.0
y=0,x,-5.1e-05,0.0,0.0
y=0,x,-4.9999999999999996e-05,0.0,0.0
y=0,x,-4.9e-05,0.0,0.0
y=0,x,-4.8e-05,0.0,0.0
y=0,x,-4.7e-05,0.0,0.0
y=0,x,-4.6e-05,0.0,0.0
y=0,x,-4.4999999999999996e-05,0.0,0.0
y=0,x,-4.4e-05,0.0,0.0
y=0,x,-4.2999999999999995e-05,0.0,0.0
y=0,x,-4.2e-05,0.0,0.0
y=0,x,-4.1e-05,0.0,0.0
y=0,x,-3.9999999999999996e-05,8.88178419700125e-23,-8.88178419700125e-23
y=0,x,-3.9e-05,1.1399999999998424e-07,-1.1399999999998424e-07
y=0,x,-3.7999999999999995e-05,2.1599999999998632e-07,-2.1599999999998632e-07
y=0,x,-3.7e-05,3.0599999999998773e-07,-3.0599999999998773e-07
y=0,x,-3.6e-05,3.8399999999998925e-07,-3.8399999999998925e-07
y=0,x,-3.5e-05,4.499999999999913e-07,-4.499999999999913e-07
y=0,x,-3.4e-05,5.039999999999929e-07,-5.039999999999929e-07
y=0,x,-3.2999999999999996e-05,5.459999999999948e-07,-5.459999999999948e-07
y=0,x,-3.2e-05,5.759999999999965e-07,-5.759999999999965e-07
y=0,x,-3.1e-05,5.939999999999981e-07,-5.939999999999981e-07
y=0,x,-2.9999999999999997e-05,6.000000000000013e-07,-6.000000000000013e-07
y=0,x,-2.9e-05,7.079999999999848e-07,-7.079999999999848e-07
y=0,x,-2.8e-05,7.919999999999886e-07,-7.919999999999886e-07
y=0,x,-2.7e-05,8.519999999999922e-07,-8.519999999999922e-07
y=0,x,-2.6e-05,8.879999999999958e-07,-8.879999999999958e-07
y=0,x,-2.4999999999999998e-05,8.999999999999994e-07,-8.999999999999994e-07
y=0,x,-2.4e-05,8.88000000000003e-07,-8.88000000000003e-07
y=0,x,-2.3e-05,8.520000000000067e-07,-8.520000000000067e-07
y=0,x,-2.2e-05,7.920000000000102e-07,-7.920000000000102e-07
y=0,x,-2.1e-05,7.080000000000139e-07,-7.080000000000139e-07
y=0,x,-1.9999999999999998e-05,6.0000000000002e-07,-6.0000000000002e-07
y=0,x,-1.8999999999999998e-05,7.07999999999992e-07,-7.07999999999992e-07
y=0,x,-1.8e-05,7.919999999999947e-07,-7.919999999999947e-07
y=0,x,-1.7e-05,8.519999999999976e-07,-8.519999999999976e-07
y=0,x,-1.6e-05,8.880000000000006e-07,-8.880000000000006e-07
y=0,x,-1.4999999999999999e-05,9.000000000000037e-07,-9.000000000000037e-07
y=0,x,-1.4e-05,8.880000000000066e-07,-8.880000000000066e-07
y=0,x,-1.3e-05,8.520000000000095e-07,-8.520000000000095e-07
y=0,x,-1.2e-05,7.920000000000127e-07,-7.920000000000127e-07
y=0,x,-1.1e-05,7.080000000000156e-07,-7.080000000000156e-07
y=0,x,-9.999999999999999e-06,6.000000000000215e-07,-6.000000000000215e-07
y=0,x,-9e-06,7.079999999999882e-07,-7.079999999999882e-07
y=0,x,-8e-06,7.919999999999906e-07,-7.919999999999906e-07
y=0,x,-7e-06,8.519999999999931e-07,-8.519999999999931e-07
y=0,x,-6e-06,8.879999999999957e-07,-8.879999999999957e-07
y=0,x,-4.9999999999999996e-06,8.999999999999982e-07,-8.999999999999982e-07
y=0,x,-4e-06,8.880000000000008e-07,-8.880000000000008e-07
y=0,x,-3e-06,8.520000000000032e-07,-8.520000000000032e-07
y=0,x,-2e-06,7.920000000000058e-07,-7.920000000000058e-07
y=0,x,-1e-06,7.080000000000085e-07,-7.080000000000085e-07
y=0,x,0.0,6.000000000000144e-07,-6.000000000000144e-07
y=0,x,1e-06,7.079999999999856e-07,-7.079999999999856e-07
y=0,x,2e-06,7.919999999999886e-07,-7.919999999999886e-07
y=0,x,3e-06,8.51999999999992e-07,-8.51999999999992e-07
y=0,x,4e-06,8.87999999999995e-07,-8.87999999999995e-07
y=0,x,4.9999999999999996e-06,8.999999999999984e-07,-8.999999999999984e-07
y=0,x,6e-06,8.880000000000015e-07,-8.880000000000015e-07
y=0,x,7e-06,8.520000000000047e-07,-8.520000000000047e-07
y=0,x,8e-06,7.920000000000078e-07,-7.920000000000078e-07
y=0,x,9e-06,7.08000000000011e-07,-7.08000000000011e-07
y=0,x,9.999999999999999e-06,6.00000000000018e-07,-6.00000000000018e-07
y=0,x,1.1e-05,7.079999999999845e-07,-7.079999999999845e-07
y=0,x,1.2e-05,7.919999999999881e-07,-7.919999999999881e-07
y=0,x,1.3e-05,8.519999999999918e-07,-8.519999999999918e-07
y=0,x,1.4e-05,8.879999999999955e-07,-8.879999999999955e-07
y=0,x,1.4999999999999999e-05,8.999999999999991e-07,-8.999999999999991e-07
y=0,x,1.6e-05,8.880000000000028e-07,-8.880000000000028e-07
y=0,x,1.7e-05,8.520000000000064e-07,-8.520000000000064e-07
y=0,x,1.8e-05,7.920000000000101e-07,-7.920000000000101e-07
y=0,x,1.8999999999999998e-05,7.08000000000014e-07,-7.08000000000014e-07
y=0,x,1.9999999999999998e-05,6.000000000000209e-07,-6.000000000000209e-07
y=0,x,2.1e-05,7.079999999999898e-07,-7.079999999999898e-07
y=0,x,2.2e-05,7.919999999999931e-07,-7.919999999999931e-07
y=0,x,2.3e-05,8.519999999999962e-07,-8.519999999999962e-07
y=0,x,2.4e-05,8.879999999999995e-07,-8.879999999999995e-07
y=0,x,2.4999999999999998e-05,9.000000000000028e-07,-9.000000000000028e-07
y=0,x,2.6e-05,8.880000000000059e-07,-8.880000000000059e-07
y=0,x,2.7e-05,8.520000000000094e-07,-8.520000000000094e-07
y=0,x,2.8e-05,7.920000000000125e-07,-7.920000000000125e-07
y=0,x,2.9e-05,7.080000000000157e-07,-7.080000000000157e-07
y=0,x,2.9999999999999997e-05,6.000000000000211e-07,-6.000000000000211e-07
y=0,x,3.1e-05,5.940000000000012e-07,-5.940000000000012e-07
y=0,x,3.2e-05,5.760000000000026e-07,-5.760000000000026e-07
y=0,x,3.2999999999999996e-05,5.460000000000041e-07,-5.460000000000041e-07
y=0,x,3.4e-05,5.040000000000053e-07,-5.040000000000053e-07
y=0,x,3.5e-05,4.500000000000067e-07,-4.500000000000067e-07
y=0,x,3.6e-05,3.840000000000078e-07,-3.840000000000078e-07
