metric,value,unit
cell_count,22701,
domain_area_internal,2.2701e-08,m^2
removal_volume_internal,3.2944800000000022e-15,m^3
max_depth_internal,9.000000000000037e-07,m
center_depth_internal,6.000000000000144e-07,m
mean_depth_internal,1.451248843663276e-07,m
n_abating_cells,7245,
max_cumulative_fluence_internal,282009.49528002413,J/m^2
max_illumination_count,51,
max_exposure_count,8,
height_min_internal,-9.000000000000037e-07,m
height_max_internal,0.0,m
unit_system,SI,
length_unit,m,
depth_unit,m,m
fluence_unit,J/m^2,J/m^2
removal_available,True,
roi[center_10um].name,center_10um,
roi[center_10um].available,True,
roi[center_10um].rule,cell_centers_within_circle (r <= radius_m),
roi[center_10um].n_cells,317,
roi[center_10um].actual_area_internal,3.17e-10,
roi[center_10um].mean_depth_internal,5.441640378548888e-07,
roi[center_10um].max_depth_internal,8.999999999999984e-07,
roi[center_10um].removal_volume_internal,1.7249999999999972e-16,
roi[center_10um].reason,null,
roi[row20_y20um].name,row20_y20um,
roi[row20_y20um].available,True,
roi[row20_y20um].rule,cell_centers_within_circle (r <= radius_m),
roi[row20_y20um].n_cells,315,
roi[row20_y20um].actual_area_internal,3.15e-10,
roi[row20_y20um].mean_depth_internal,5.468571428571444e-07,
roi[row20_y20um].max_depth_internal,9.000000000000033e-07,
roi[row20_y20um].removal_volume_internal,1.7226000000000046e-16,
roi[row20_y20um].reason,null,
