index,time_s,focus_x_m,focus_y_m,focus_z_m,direction_x,direction_y,direction_z,energy_J,segment_id,pass_id
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
1,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
2,0.002,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
3,0.003,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
4,0.004,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
5,0.005,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
6,0.006,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
7,0.007,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
8,0.008,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
9,0.009,0.0,0.0,0.0,0.0,0.0,1.0,1.1606702178681694e-05,0,0
