metric,value,unit
watermark.material_id,analytic_fixture_not_a_material,
watermark.family,mathematical_fixture,
watermark.grade,null,
watermark.evidence_status,unverified,
watermark.source_type,analytic_test_definition,
watermark.card_version,1.0.0,
watermark.card_sha256,0c78992d673697115ffdfc4444b5ffc4f16604d26e4973d0d38825b5213f7dcd,
watermark.physical_prediction_allowed,False,
watermark.identity_confirmed_by_user,False,
watermark.run_mode,reference_case,
watermark.unit_mode,SI,
watermark.physical_depth_export_allowed,True,
cell_count,25921,
domain_area_internal,6.480250000000003e-09,m^2
removal_volume_internal,3.1410999999999994e-16,m^3
max_depth_internal,1.9999999999999995e-06,m
center_depth_internal,1.9999999999999995e-06,m
mean_depth_internal,4.847189537440682e-08,m
n_abating_cells,1245,
max_cumulative_fluence_internal,738905.609893065,J/m^2
max_illumination_count,10,
max_exposure_count,10,
height_min_internal,-1.9999999999999995e-06,m
height_max_internal,0.0,m
unit_system,SI,
length_unit,m,
depth_unit,m,m
fluence_unit,J/m^2,J/m^2
removal_available,True,
roi[center_10um].name,center_10um,
roi[center_10um].available,True,
roi[center_10um].rule,cell_centers_within_circle (r <= radius_m),
roi[center_10um].n_cells,1245,
roi[center_10um].actual_area_internal,3.1125000000000014e-10,
roi[center_10um].mean_depth_internal,1.00918875502008e-06,
roi[center_10um].max_depth_internal,1.9999999999999995e-06,
roi[center_10um].removal_volume_internal,3.1411e-16,
roi[center_10um].reason,null,
