section,axis,coord,depth,height
y=0,x,-6.5e-05,0.0,0.0
y=0,x,-6.4e-05,0.0,0.0
y=0,x,-6.3e-05,0.0,0.0
y=0,x,-6.2e-05,0.0,0.0
y=0,x,-6.1e-05,0.0,0.0
y=0,x,-5.9999999999999995e-05,0.0,0.0
y=0,x,-5.9e-05,0.0,0.0
y=0,x,-5.8e-05,0.0,0.0
y=0,x,-5.6999999999999996e-05,0.0,0.0
y=0,x,-5.6e-05,0.0,0.0
y=0,x,-5.4999999999999995e-05,0.0,0.0
y=0,x,-5.4e-05,0.0,0.0
y=0,x,-5.3e-05,0.0,0.0
y=0,x,-5.2e-05,0.0,0.0
y=0,x,-5.1e-05,0.0,0.0
y=0,x,-4.9999999999999996e-05,0.0,0.0
y=0,x,-4.9e-05,0.0,0.0
y=0,x,-4.8e-05,0.0,0.0
y=0,x,-4.7e-05,0.0,0.0
y=0,x,-4.6e-05,0.0,0.0
y=0,x,-4.4999999999999996e-05,0.0,0.0
y=0,x,-4.4e-05,0.0,0.0
y=0,x,-4.2999999999999995e-05,0.0,0.0
y=0,x,-4.2e-05,0.0,0.0
y=0,x,-4.1e-05,0.0,0.0
y=0,x,-3.9999999999999996e-05,4.440892098500625e-23,-4.440892098500625e-23
y=0,x,-3.9e-05,3.799999999999995e-08,-3.799999999999995e-08
y=0,x,-3.7999999999999995e-05,7.200000000000006e-08,-7.200000000000006e-08
y=0,x,-3.7e-05,1.0199999999999995e-07,-1.0199999999999995e-07
y=0,x,-3.6e-05,1.2799999999999988e-07,-1.2799999999999988e-07
y=0,x,-3.5e-05,1.5e-07,-1.5e-07
y=0,x,-3.4e-05,1.6799999999999994e-07,-1.6799999999999994e-07
y=0,x,-3.2999999999999996e-05,1.82e-07,-1.82e-07
y=0,x,-3.2e-05,1.9199999999999997e-07,-1.9199999999999997e-07
y=0,x,-3.1e-05,1.9799999999999995e-07,-1.9799999999999995e-07
y=0,x,-2.9999999999999997e-05,2.0000000000000002e-07,-2.0000000000000002e-07
y=0,x,-2.9e-05,2.3599999999999992e-07,-2.3599999999999992e-07
y=0,x,-2.8e-05,2.6399999999999993e-07,-2.6399999999999993e-07
y=0,x,-2.7e-05,2.8399999999999995e-07,-2.8399999999999995e-07
y=0,x,-2.6e-05,2.9599999999999995e-07,-2.9599999999999995e-07
y=0,x,-2.4999999999999998e-05,3e-07,-3e-07
y=0,x,-2.4e-05,2.96e-07,-2.96e-07
y=0,x,-2.3e-05,2.8400000000000005e-07,-2.8400000000000005e-07
y=0,x,-2.2e-05,2.6400000000000003e-07,-2.6400000000000003e-07
y=0,x,-2.1e-05,2.36e-07,-2.36e-07
y=0,x,-1.9999999999999998e-05,2.0000000000000007e-07,-2.0000000000000007e-07
y=0,x,-1.8999999999999998e-05,2.36e-07,-2.36e-07
y=0,x,-1.8e-05,2.6399999999999993e-07,-2.6399999999999993e-07
y=0,x,-1.7e-05,2.8399999999999995e-07,-2.8399999999999995e-07
y=0,x,-1.6e-05,2.9599999999999995e-07,-2.9599999999999995e-07
y=0,x,-1.4999999999999999e-05,3e-07,-3e-07
y=0,x,-1.4e-05,2.96e-07,-2.96e-07
y=0,x,-1.3e-05,2.84e-07,-2.84e-07
y=0,x,-1.2e-05,2.6400000000000003e-07,-2.6400000000000003e-07
y=0,x,-1.1e-05,2.36e-07,-2.36e-07
y=0,x,-9.999999999999999e-06,2.0000000000000007e-07,-2.0000000000000007e-07
y=0,x,-9e-06,2.3599999999999994e-07,-2.3599999999999994e-07
y=0,x,-8e-06,2.64e-07,-2.64e-07
y=0,x,-7e-06,2.84e-07,-2.84e-07
y=0,x,-6e-06,2.9599999999999995e-07,-2.9599999999999995e-07
y=0,x,-4.9999999999999996e-06,3e-07,-3e-07
y=0,x,-4e-06,2.96e-07,-2.96e-07
y=0,x,-3e-06,2.84e-07,-2.84e-07
y=0,x,-2e-06,2.64e-07,-2.64e-07
y=0,x,-1e-06,2.36e-07,-2.36e-07
y=0,x,0.0,2.0000000000000007e-07,-2.0000000000000007e-07
y=0,x,1e-06,2.36e-07,-2.36e-07
y=0,x,2e-06,2.64e-07,-2.64e-07
y=0,x,3e-06,2.84e-07,-2.84e-07
y=0,x,4e-06,2.96e-07,-2.96e-07
y=0,x,4.9999999999999996e-06,3e-07,-3e-07
y=0,x,6e-06,2.9599999999999995e-07,-2.9599999999999995e-07
y=0,x,7e-06,2.84e-07,-2.84e-07
y=0,x,8e-06,2.64e-07,-2.64e-07
