metric,value,unit
peak_fluence_J_m2,100000.0,
peak_fluence_J_cm2,10.0,
Fth1_J_m2,23500.0,
Fth1_J_cm2,2.35,
Fth_infinity_J_m2,7000.0,
Fth_infinity_J_cm2,0.7,
k_per_pulse,0.0199,
delta_eff_mean_m,2.24e-08,
effective_count,720.0,
threshold_J_m2,7000.010082194415,
threshold_J_cm2,0.7000010082194416,
mean_depth_per_effective_pulse_m,5.956739256429533e-08,
mean_depth_per_effective_pulse_nm,59.567392564295325,
protocol_cumulative_depth_m,4.288852264629264e-05,
protocol_cumulative_depth_um,42.888522646292635,
event_kernel_allowed,False,
verified_by_experiment,False,
