index,time_s,focus_x_m,focus_y_m,focus_z_m,direction_x,direction_y,direction_z,energy_J,segment_id,pass_id
0,0.0,-0.7,-0.6,0.0,0.0,0.0,1.0,11.606702178681692,0,0
1,0.001,-0.5,-0.6,0.0,0.0,0.0,1.0,11.606702178681692,0,0
2,0.002,-0.3,-0.6,0.0,0.0,0.0,1.0,11.606702178681692,0,0
3,0.003,-0.09999999999999998,-0.6,0.0,0.0,0.0,1.0,11.606702178681692,0,0
4,0.004,0.09999999999999998,-0.6,0.0,0.0,0.0,1.0,11.606702178681692,0,0
5,0.005,0.30000000000000004,-0.6,0.0,0.0,0.0,1.0,11.606702178681692,0,0
6,0.006,0.5,-0.6,0.0,0.0,0.0,1.0,11.606702178681692,0,0
7,0.009,0.7,0.0,0.0,0.0,0.0,1.0,11.606702178681692,2,0
8,0.01,0.5000000000000001,0.0,0.0,0.0,0.0,1.0,11.606702178681692,2,0
9,0.011,0.3000000000000003,0.0,0.0,0.0,0.0,1.0,11.606702178681692,2,0
10,0.012,0.10000000000000009,0.0,0.0,0.0,0.0,1.0,11.606702178681692,2,0
11,0.013,-0.09999999999999976,0.0,0.0,0.0,0.0,1.0,11.606702178681692,2,0
12,0.014,-0.30000000000000004,0.0,0.0,0.0,0.0,1.0,11.606702178681692,2,0
13,0.015,-0.4999999999999998,0.0,0.0,0.0,0.0,1.0,11.606702178681692,2,0
14,0.018,-0.7,0.6,0.0,0.0,0.0,1.0,11.606702178681692,4,0
15,0.019,-0.5000000000000004,0.6,0.0,0.0,0.0,1.0,11.606702178681692,4,0
16,0.02,-0.3000000000000003,0.6,0.0,0.0,0.0,1.0,11.606702178681692,4,0
17,0.021,-0.10000000000000009,0.6,0.0,0.0,0.0,1.0,11.606702178681692,4,0
18,0.022,0.09999999999999931,0.6,0.0,0.0,0.0,1.0,11.606702178681692,4,0
19,0.023,0.2999999999999995,0.6,0.0,0.0,0.0,1.0,11.606702178681692,4,0
20,0.024,0.4999999999999998,0.6,0.0,0.0,0.0,1.0,11.606702178681692,4,0
